Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-3_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-20_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Snippy_mqc-generalstats-snippy-VariantTotal	Snippy_mqc-generalstats-snippy-Variant_SNP	Snippy_mqc-generalstats-snippy-Variant_INS	Snippy_mqc-generalstats-snippy-Variant_DEL	Snippy_mqc-generalstats-snippy-Variant_COMPLEX	Snippy_mqc-generalstats-snippy-Percent_Aligned	Snippy_mqc-generalstats-snippy-Percent_Het	Snippy_mqc-generalstats-snippy-LENGTH	Snippy_mqc-generalstats-snippy-ALIGNED	Snippy_mqc-generalstats-snippy-UNALIGNED	Snippy_mqc-generalstats-snippy-VARIANT	Snippy_mqc-generalstats-snippy-HET	Snippy_mqc-generalstats-snippy-MASKED	Snippy_mqc-generalstats-snippy-LOWCOV
SAMEA3713711	44.1371553222673	91.13774637126788	88.66582951248019	82.92874216720791	53.282821119888695	14.734831583970948	10	12.0367	100.0	859121.0	859121.0	0.16999999999999998	251	222	12	13	4	85.61254944506615	0.10677244434168923	4829855	4134962	205493	52	4415	381582	103403
SAMEA3713712	45.74069449970502	91.52098769010664	90.51983962251455	88.8033698734227	73.23277820969781	20.948434269765862	13	14.9758	100.0	877851.0	877851.0	0.24	263	234	11	12	5	87.01534518117003	0.2147421369281524	4829855	4202715	204166	50	9025	381582	32367
SAMEA3713713	45.197326734723454	91.75300293694117	90.65572361903205	89.76223923906619	81.88146435037905	43.10473088736618	18	19.8333	100.0	1376115.0	1376115.0	0.16	291	249	16	16	10	87.41026386920518	0.1216309010232392	4829855	4221789	182715	50	5135	381582	38634
SAMEA3713714	48.616558212465705	90.96233737865836	87.6567101910927	83.17460876154666	62.714553542497654	20.200192345318854	12	13.0856	100.0	975980.0	975980.0	0.13999999999999999	237	215	6	9	7	84.81929581736925	0.06866587789190629	4829855	4096649	210626	46	2813	381582	138185
SAMEA3713715	48.16133834688809	91.68776288315074	90.46126643553481	89.81228214925707	86.56909990051462	64.13089005777606	24	24.1539	100.0	1594858.0	1594858.0	0.18	262	230	10	14	8	87.12437536944691	0.2151863328280237	4829855	4207981	188566	43	9055	381582	42671
SAMEA3937653	47.221077438454344	92.49822199631252	89.57948012932066	83.20624532206453	48.35085111250752	5.607394010793285	9	10.5152	100.0	885802.0	885802.0	0.11	127	110	9	6	1	87.04265448962754	0.03394358846764798	4829855	4204034	126962	19	1427	381582	115850
SAMEA3937654	47.733176180052766	92.86986876417615	91.4862868554025	90.10982731365641	81.79968135689374	41.707960176858315	18	18.2581	100.0	1589079.0	1589079.0	0.16999999999999998	115	105	5	4	1	88.85875455888427	0.028333437020664532	4829855	4291749	108972	17	1216	381582	46336
SAMEA5054089	47.27069475940228	95.65877236480185	95.24971246548809	94.9733894702843	94.42966714321652	92.33001818895184	39	37.943	100.0	2775183.0	2775183.0	0.88	121	103	6	6	4	88.52021437496572	3.77160208242601	4829855	4275398	9050	16	161251	381582	2574
SAMEA5054090	43.58948051833335	95.61274613834162	94.94784004902839	93.8670415571482	89.00219571809092	75.86908923766863	41	46.5599	100.0	2923541.0	2923541.0	0.89	130	110	10	6	2	88.9919469632111	2.9223518222355405	4829855	4298182	9713	17	125608	381582	14770
SAMEA5054092	43.96106871763263	95.4004209236095	93.61386625478404	91.35139667754001	84.13881990246084	66.3489690684296	28	30.741	100.0	1373043.0	1373043.0	0.7000000000000001	147	118	14	10	3	88.64005234111583	1.818351269951831	4829855	4281186	23953	18	77847	381582	65287
SAMEA5054093	45.39205818370726	90.6117678481031	75.13815632146307	57.43764564360628	21.808377270125085	1.8443824918139364	5	6.3078	100.0	432084.0	432084.0	1.3599999999999999	81	73	2	4	2	72.31896195641484	1.0492710786821613	4829855	3492901	211482	15	36650	381582	707240
SAMEA5818798	49.488889604016144	92.73133458457863	89.54695327292434	84.69626934970097	63.64859814632116	17.944741612325835	12	12.7385	100.0	1035284.0	1035284.0	0.13	219	194	11	10	3	87.31595461975566	0.02809898620754741	4829855	4217234	99502	36	1185	381582	130352
SAMEA5818799	49.43499393799751	93.5077968179169	92.49242472082496	91.44471210833451	87.96015615375617	75.5944847205558	35	37.4348	100.0	2758758.0	2758758.0	0.15	258	218	13	12	11	89.84799750717154	0.03101719818376561	4829855	4339528	74735	36	1346	381582	32664
SAMEA5818800	48.903531946284396	94.34281153367958	93.9361326582268	93.64088569946716	92.99239832251693	91.55074013609104	86	80.7066	100.0	3771457.0	3771457.0	0.15	278	227	16	20	11	90.61069121122684	0.020359362164718894	4829855	4376365	64208	36	891	381582	6809
SAMEA5818801	49.597648250500946	93.0715311329222	91.27421009533413	89.1710620712216	80.58488298302952	45.56314837608996	18	18.6379	100.0	1433326.0	1433326.0	0.16	242	211	11	11	8	88.8115067636606	0.081385402895045	4829855	4289467	88332	35	3491	381582	66983
SAMEA5818803	47.69350858271027	94.29100873628711	93.19308757716328	91.7452594332542	85.41970721688332	58.653147972351135	22	22.4032	100.0	2242779.0	2242779.0	0.11	201	177	7	11	6	90.853804099709	0.058407873828053875	4829855	4388107	22757	26	2563	381582	34846
SAMEA5818805	46.823921574569304	94.0500905306681	92.07543497682643	88.49284295284227	68.99223682698549	19.35165755493695	13	13.4952	100.0	1374601.0	1374601.0	0.13	156	142	6	5	3	89.92470788460523	0.0667475127399336	4829855	4343233	28379	21	2899	381582	73762
SAMEA5818806	48.27442869131878	94.4450920369245	93.31480965784687	91.99988405449025	86.92082888616739	68.38012735371973	27	27.6011	100.0	2500541.0	2500541.0	0.13999999999999999	124	108	5	6	5	90.81318176218541	0.04808322570275264	4829855	4386145	22191	15	2109	381582	37828
SAMEA5818808	50.19126501600728	90.36024891016397	79.75771529373036	65.22131616787668	26.932920346470027	1.9603901152312027	6	6.9643	100.0	616712.0	616712.0	0.2	120	111	1	5	3	77.59748481062061	0.045839663636125925	4829855	3747846	200870	13	1718	381582	497839
SAMEA5818809	51.204898083358664	93.37454229992412	90.94312355132814	88.64199856931523	81.99488390438222	62.888844489120274	25	25.6325	100.0	2022305.0	2022305.0	0.22999999999999998	128	118	3	4	3	88.36625530166019	0.05417105400657269	4829855	4267962	74103	10	2312	381582	103896
SAMEA5818811	49.994180121225114	91.14470310185295	81.84314021849518	68.72384367646647	31.978020044079997	2.958515317747634	7	7.6312	100.0	667954.0	667954.0	0.19	98	85	4	6	3	79.67829261955069	0.017877810363205387	4829855	3848346	167341	7	688	381582	431898
SAMEA5818815	47.71050159065059	94.71603184774698	93.63142371768924	91.62349594346	72.84622416200901	8.784404500756233	13	12.4455	100.0	874459.0	874459.0	0.15	180	150	14	14	2	91.03919268797924	0.04591703412802324	4829855	4397061	20217	13	2019	381582	28976
SAMEA5818817	44.937808471787825	93.78763958752386	90.024462432102	82.97772914507786	54.89255888634338	12.171607636254091	10	11.3286	100.0	1077140.0	1077140.0	0.13	144	126	6	7	5	87.98154395939423	0.034852134934476336	4829855	4249381	42438	8	1481	381582	154973
SAMEA5818818	48.78724904868128	92.82605792513439	88.72276703959021	83.25094645698474	61.813822568172334	17.8489416348938	12	12.505	100.0	956560.0	956560.0	0.22	157	145	2	6	3	86.33942426843042	0.02798514844718397	4829855	4170069	93753	11	1167	381582	183284
SAMEA5818821	49.75941507769561	93.03130218194956	90.00603537787366	86.74241773303753	75.40402351623392	42.20956943842	17	18.1525	100.0	1349206.0	1349206.0	0.22999999999999998	171	158	4	4	4	87.51714078372953	0.026307378533604955	4829855	4226951	87347	11	1112	381582	132863
SAMEA5818822	50.475462535480986	91.29379660465997	85.12425321257057	77.95258863878936	55.77722312574601	18.137935817948986	11	11.9917	100.0	921448.0	921448.0	0.25	153	143	3	4	3	82.6938282826296	0.03705565759771176	4829855	3993992	165834	10	1480	381582	286967
SAMEA5818825	49.291524076568116	91.37845753133375	83.9591457714569	73.68769869902927	42.30609407528797	7.459851279179189	8	9.2809	100.0	744473.0	744473.0	0.21	137	128	2	5	2	81.6671307937816	0.020484717082732903	4829855	3944404	157653	11	808	381582	345408
SAMEA5818826	49.33467903388741	94.41579509115698	93.636372106409	92.9900587077666	91.4718350757942	87.76580249303551	59	55.9384	100.0	3997559.0	3997559.0	0.22	206	179	11	6	8	90.86481892313537	0.020142919023414776	4829855	4388639	30578	10	884	381582	28172
SAMEA5818828	49.543150362085946	93.09503080320216	90.24117701256041	87.22323962106523	76.87245269267918	46.22749544240976	18	19.1611	100.0	1400859.0	1400859.0	0.24	172	155	7	7	3	87.75375244184349	0.03194617564875628	4829855	4238379	84372	10	1354	381582	124168
SAMEA5818829	48.9381074388446	93.75128238839469	91.97458308789808	90.3019448824033	85.17831280649212	68.57423255977663	28	28.6884	100.0	2126575.0	2126575.0	0.24	177	160	4	7	5	89.40231124950955	0.03422879378008625	4829855	4318002	55133	10	1478	381582	73660
SAMEA5818830	48.85966625660867	93.43992728560174	91.14824358081144	88.67247567473558	80.12607003729926	53.30870181402961	21	21.857	100.0	1653531.0	1653531.0	0.22999999999999998	177	158	7	4	6	88.62268121920845	0.05866346817208979	4829855	4280347	68198	11	2511	381582	97217
SAMEA6637002	49.29885157078542	95.14494741560564	94.59484808550152	94.15355119356585	92.96473703661911	89.33373776231377	51	49.8202	100.0	3223234.0	3223234.0	0.1	202	161	16	12	12	91.5123124814306	0.026471115262023316	4829855	4419912	16236	10	1170	381582	10955
SAMEA6637004	48.19571775439631	94.53873874060402	92.32144650305237	88.44215820143668	62.58835927786652	5.910508700571756	11	11.1705	100.0	675024.0	675024.0	0.12	177	148	14	12	2	89.67033171803294	0.021912066806636054	4829855	4330947	35514	12	949	381582	80863
SAMEA6651390	48.28799643276043	94.6515371579478	93.43924403527642	91.912345194628	85.13147910237471	54.317489862532106	21	21.178	100.0	1557471.0	1557471.0	0.13	170	145	13	9	3	90.76643087628925	0.04201750638189351	4829855	4383887	24420	10	1842	381582	38124
SAMEA7293135	46.39463949861073	94.66114407161291	93.94907300529727	93.1788014339975	90.35911015962176	80.61107424550012	36	36.2462	100.0	1652290.0	1652290.0	0.27	369	309	19	29	12	90.16142306549575	0.31951933856695325	4829855	4354666	63982	21	13914	381582	15711
SAMEA7293136	45.50263877168011	92.95208655332303	86.16759716389001	78.63956578406598	60.386947434239744	32.966248469156945	13	16.2869	100.0	1235649.0	1235649.0	0.44999999999999996	121	107	6	6	2	83.32612469732527	0.5365345676303649	4829855	4024531	103416	7	21593	381582	298733
SAMEA7313236_38	46.42560485524481	93.66869191725218	92.48965031041304	90.82152569797644	71.37576593914311	9.454093342346717	12	12.5036	100.0	862897.0	862897.0	1.28	219	200	5	12	2	88.06256088433297	1.7625398103211298	4829855	4253294	87045	18	74966	381582	32968
SAMEA7313243_45	46.91562545935617	91.84064531957999	77.61688497894865	54.75543261650712	13.407151974541678	1.022432350453585	5	5.5564	100.0	482699.0	482699.0	0.9299999999999999	115	105	5	5	0	75.21929747373368	0.2998087246761133	4829855	3632983	148076	11	10892	381582	656322
SAMEA7313246_49	47.653824648188646	95.8934377947164	95.7482574528635	95.66463175395535	95.54630522034306	95.41367183900967	186	175.8385	100.0	7460345.0	7460345.0	0.66	220	178	14	15	6	91.81963019593756	0.036664934139540965	4829855	4434755	11870	7	1626	381582	22
SAMN00715800	49.49711179531893	93.73726540444795	90.03744418828309	85.1478978147377	66.67560413304334	28.935713390981718	13	15.0431	100.0	1309582.0	1309582.0	0.22999999999999998	115	104	4	4	2	87.29262058591821	0.04812496457039634	4829855	4216107	70011	4	2029	381582	160126
