Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
SAMEA5054089	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054089/SAMEA5054089.bam	2775183.0	2775183.0	183259404.0	183246611.0	0.0	0.0	36.9975	0.0088	37.943	100.0
SAMEA5054090	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054090/SAMEA5054090.bam	2923541.0	2923541.0	224877573.0	224869495.0	0.0	0.0	36.9987	0.0089	46.5599	100.0
SAMEA5054092	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054092/SAMEA5054092.bam	1373043.0	1373043.0	148474702.0	148469905.0	0.0	0.0	36.9989	0.007	30.741	100.0
SAMEA5054093	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054093/SAMEA5054093.bam	432084.0	432084.0	30465953.0	30465060.0	0.0	0.0	36.9991	0.0136	6.3078	100.0
SAMEA5818798	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818798/SAMEA5818798.bam	1035284.0	1035284.0	61525217.0	61523705.0	0.0	0.0	36.8155	0.0013	12.7385	100.0
SAMEA5818799	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818799/SAMEA5818799.bam	2758758.0	2758758.0	180804837.0	180800497.0	0.0	0.0	36.9073	0.0015	37.4348	100.0
SAMEA5818800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818800/SAMEA5818800.bam	3771457.0	3771457.0	389801161.0	389785430.0	0.0	0.0	36.8149	0.0015	80.7066	100.0
SAMEA5818801	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818801/SAMEA5818801.bam	1433326.0	1433326.0	90018291.0	90016570.0	0.0	0.0	36.9993	0.0016	18.6379	100.0
SAMEA5818803	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818803/SAMEA5818803.bam	2242779.0	2242779.0	108204027.0	108202575.0	0.0	0.0	36.9995	0.0011	22.4032	100.0
SAMEA5818805	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818805/SAMEA5818805.bam	1374601.0	1374601.0	65179700.0	65178659.0	0.0	0.0	36.9994	0.0013	13.4952	100.0
SAMEA5818806	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818806/SAMEA5818806.bam	2500541.0	2500541.0	133309126.0	133304882.0	0.0	0.0	36.9988	0.0014	27.6011	100.0
SAMEA5818808	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818808/SAMEA5818808.bam	616712.0	616712.0	33636644.0	33635841.0	0.0	0.0	36.9991	0.002	6.9643	100.0
SAMEA5818809	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818809/SAMEA5818809.bam	2022305.0	2022305.0	123801417.0	123795818.0	0.0	0.0	36.9984	0.0023	25.6325	100.0
SAMEA5818811	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818811/SAMEA5818811.bam	667954.0	667954.0	36857672.0	36856740.0	0.0	0.0	36.9991	0.0019	7.6312	100.0
SAMEA5818815	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818815/SAMEA5818815.bam	874459.0	874459.0	60109973.0	60106287.0	0.0	0.0	36.9977	0.0015	12.4455	100.0
SAMEA5818817	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818817/SAMEA5818817.bam	1077140.0	1077140.0	54715667.0	54714118.0	0.0	0.0	36.999	0.0013	11.3286	100.0
SAMEA5818818	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818818/SAMEA5818818.bam	956560.0	956560.0	60397223.0	60395619.0	0.0	0.0	36.999	0.0022	12.505	100.0
SAMEA5818821	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818821/SAMEA5818821.bam	1349206.0	1349206.0	87673952.0	87671600.0	0.0	0.0	36.999	0.0023	18.1525	100.0
SAMEA5818822	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818822/SAMEA5818822.bam	921448.0	921448.0	57918222.0	57916586.0	0.0	0.0	36.999	0.0025	11.9917	100.0
SAMEA5818825	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818825/SAMEA5818825.bam	744473.0	744473.0	44825164.0	44823759.0	0.0	0.0	36.9988	0.0021	9.2809	100.0
SAMEA5818826	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818826/SAMEA5818826.bam	3997559.0	3997559.0	270174491.0	270166858.0	0.0	0.0	36.999	0.0022	55.9384	100.0
SAMEA5818828	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818828/SAMEA5818828.bam	1400859.0	1400859.0	92545254.0	92541798.0	0.0	0.0	36.9986	0.0024	19.1611	100.0
SAMEA5818829	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818829/SAMEA5818829.bam	2126575.0	2126575.0	138560665.0	138555276.0	0.0	0.0	36.9986	0.0024	28.6884	100.0
SAMEA5818830	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818830/SAMEA5818830.bam	1653531.0	1653531.0	105566019.0	105562089.0	0.0	0.0	36.9986	0.0023	21.857	100.0
SAMEA6637002	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637002/SAMEA6637002.bam	3223234.0	3223234.0	240624136.0	240617025.0	0.0	0.0	36.999	0.001	49.8202	100.0
SAMEA6637004	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637004/SAMEA6637004.bam	675024.0	675024.0	53951962.0	53949762.0	0.0	0.0	36.9985	0.0012	11.1705	100.0
SAMEA6651390	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6651390/SAMEA6651390.bam	1557471.0	1557471.0	102286879.0	102283620.0	0.0	0.0	36.9989	0.0013	21.178	100.0
SAMEA7293135	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293135/SAMEA7293135.bam	1652290.0	1652290.0	175064075.0	175051275.0	0.0	0.0	36.9971	0.0027	36.2462	100.0
SAMEA7293136	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293136/SAMEA7293136.bam	1235649.0	1235649.0	78663141.0	78660954.0	0.0	0.0	36.999	0.0045	16.2869	100.0
SAMEA7313236_38	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313236_38/SAMEA7313236_38.bam	862897.0	862897.0	60390738.0	60388157.0	0.0	0.0	36.9986	0.0128	12.5036	100.0
SAMEA7313243_45	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313243_45/SAMEA7313243_45.bam	482699.0	482699.0	26836438.0	26835879.0	0.0	0.0	36.9993	0.0093	5.5564	100.0
SAMEA7313246_49	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313246_49/SAMEA7313246_49.bam	7460345.0	7460345.0	849274274.0	849228785.0	0.0	0.0	36.998	0.0066	175.8385	100.0
SAMN00715800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMN00715800/SAMN00715800.bam	1309582.0	1309582.0	72655899.0	72653733.0	0.0	0.0	36.9989	0.0023	15.0431	100.0
