Module	Section	Sample Name	Source
QualiMap	genome_results	SAMEA3713712	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713712/genome_results.txt
QualiMap	genome_results	SAMEA3713711	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713711/genome_results.txt
QualiMap	genome_results	SAMN00715800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMN00715800/genome_results.txt
QualiMap	genome_results	SAMEA7293136	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293136/genome_results.txt
QualiMap	genome_results	SAMEA7293135	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293135/genome_results.txt
QualiMap	genome_results	SAMEA7313236_38	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313236_38/genome_results.txt
QualiMap	genome_results	SAMEA7313243_45	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313243_45/genome_results.txt
QualiMap	genome_results	SAMEA7313246_49	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313246_49/genome_results.txt
QualiMap	genome_results	SAMEA6651390	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6651390/genome_results.txt
QualiMap	genome_results	SAMEA6637004	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637004/genome_results.txt
QualiMap	genome_results	SAMEA6637002	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637002/genome_results.txt
QualiMap	genome_results	D51	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D51/genome_results.txt
QualiMap	genome_results	D62	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D62/genome_results.txt
QualiMap	genome_results	D71	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D71/genome_results.txt
QualiMap	genome_results	D72	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D72/genome_results.txt
QualiMap	genome_results	D75	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D75/genome_results.txt
QualiMap	genome_results	P187	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P187/genome_results.txt
QualiMap	genome_results	P212	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P212/genome_results.txt
QualiMap	genome_results	P387	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P387/genome_results.txt
QualiMap	genome_results	R36	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R36/genome_results.txt
QualiMap	coverage_histogram	SAMEA5818830	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818830/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818829	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818829/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818828	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818828/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818826	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818826/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818825	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818825/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818822	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818822/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818821	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818821/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818818	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818818/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818817	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818817/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818815	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818815/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818811	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818811/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818809	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818809/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818808	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818808/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818806	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818806/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818805	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818805/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818803	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818803/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818801	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818801/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818800/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818799	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818799/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5818798	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818798/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5054093	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054093/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5054092	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054092/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5054090	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054090/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA5054089	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054089/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3937654	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937654/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3937653	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937653/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3713715	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713715/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3713714	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713714/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3713713	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713713/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3713712	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713712/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA3713711	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713711/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMN00715800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMN00715800/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA7293136	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293136/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA7293135	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293135/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA7313236_38	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313236_38/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA7313243_45	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313243_45/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA7313246_49	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313246_49/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA6651390	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6651390/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA6637004	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637004/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SAMEA6637002	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637002/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D51	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D51/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D62	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D62/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D71	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D71/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D72	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D72/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D75	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D75/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P187	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P187/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P212	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P212/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P387	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P387/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	R36	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R36/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	SAMEA5818830	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818830/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818829	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818829/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818828	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818828/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818826	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818826/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818825	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818825/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818822	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818822/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818821	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818821/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818818	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818818/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818817	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818817/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818815	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818815/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818811	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818811/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818809	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818809/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818808	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818808/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818806	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818806/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818805	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818805/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818803	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818803/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818801	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818801/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818800/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818799	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818799/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5818798	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818798/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5054093	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054093/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5054092	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054092/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5054090	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054090/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA5054089	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054089/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3937654	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937654/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3937653	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937653/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3713715	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713715/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3713714	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713714/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3713713	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713713/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3713712	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713712/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA3713711	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713711/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMN00715800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMN00715800/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA7293136	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293136/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA7293135	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7293135/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA7313236_38	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313236_38/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA7313243_45	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313243_45/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA7313246_49	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA7313246_49/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA6651390	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6651390/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA6637004	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637004/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SAMEA6637002	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA6637002/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D51	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D51/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D62	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D62/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D71	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D71/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D72	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D72/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D75	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D75/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P187	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P187/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P212	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P212/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P387	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P387/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	R36	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R36/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
