sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout
SAMN05731685	Yp3019	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731685	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731684	Yp3043	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731684	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731683	Yp2963	2006.0	-15	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731683	TBD: SRA Modern	NA	Africa	2006.0	15.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731682	Yp3078	2011.0	-10	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731682	TBD: SRA Modern	NA	Africa	2011.0	10.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731681	Yp3042	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731681	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731680	Yp3016	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731680	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731679	Yp3026	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731679	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731678	Yp2979	2006.0	-15	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731678	TBD: SRA Modern	NA	Africa	2006.0	15.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Rattus rattus	Rodentia	PAIRED
SAMN05731677	Yp3009	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731677	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Siphonaptera	Siphonaptera	PAIRED
SAMN01991280	AS200901509	2009.0	-12	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	Orientalis	1.ORI	1.ORI1	SAMN01991280	TBD: SRA Modern	1	North America	2009.0	12.0	0.0	34.5708167	-105.993007	Non-Human	Illumina Genome Analyzer IIx	NA	prairie dog	Carnivora	SINGLE
SAMN01991277	AS 200900596	2009.0	-12	United States of America	NA	39.7837304	-100.4458825	NA	NA	NA	NA	NA	SAMN01991277	TBD: SRA Modern	NA	North America	2009.0	12.0	0.0	39.7837304	-100.4458825	Non-Human	Illumina Genome Analyzer IIx	NA	rabbit	Lagomorpha	SINGLE
SAMN01991276	AS 2509	2004.0	-17	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991276	TBD: SRA Modern	NA	North America	2004.0	17.0	0.0	34.5708167	-105.993007	Non-Human	Illumina Genome Analyzer IIx	NA	Rodent	Rodentia	SINGLE
SAMN01991275	3357	1999.0	-22	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991275	TBD: SRA Modern	NA	North America	1999.0	22.0	0.0	34.5708167	-105.993007	Non-Human	Illumina Genome Analyzer IIx	NA	mountain lion	Carnivora	SINGLE
SAMN01991274	2772	1984.0	-37	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991274	TBD: SRA Modern	NA	North America	1984.0	37.0	0.0	34.5708167	-105.993007	Non-Human	Illumina Genome Analyzer IIx	NA	Cat	Carnivora	SINGLE
SAMN01991261	4139	1995.0	-26	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991261	TBD: SRA Modern	NA	North America	1995.0	26.0	0.0	34.5708167	-105.993007	Non-Human	Illumina Genome Analyzer IIx	NA	cat	Carnivora	SINGLE
SAMN14829195	12/87	1987.0	-34	Madagascar	Antsiranana Province	-18.9249604	46.4416422	-13.9745753	49.230852397493166	NA	NA	NA	SAMN14829195	TBD: SRA Modern	NA	Africa	1987.0	34.0	0.0	-13.9745753	49.230852397493166	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN14829194	97/96	1996.0	-25	Madagascar	Province d’Antananarivo	-18.9249604	46.4416422	-18.8040639	47.2271831	NA	NA	NA	SAMN14829194	TBD: SRA Modern	NA	Africa	1996.0	25.0	0.0	-18.8040639	47.2271831	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN14829193	59/13	2013.0	-8	Madagascar	Province d’Antananarivo	-18.9249604	46.4416422	-18.8040639	47.2271831	NA	NA	NA	SAMN14829193	TBD: SRA Modern	NA	Africa	2013.0	8.0	0.0	-18.8040639	47.2271831	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN14829192	56/13	2013.0	-8	Madagascar	Province d’Antananarivo	-18.9249604	46.4416422	-18.8040639	47.2271831	NA	NA	NA	SAMN14829192	TBD: SRA Modern	NA	Africa	2013.0	8.0	0.0	-18.8040639	47.2271831	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503568	65/16	2016.0	-5	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503568	TBD: SRA Modern	NA	Africa	2016.0	5.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Rattus rattus	Rodentia	PAIRED
SAMN15503567	25/16	2016.0	-5	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503567	TBD: SRA Modern	NA	Africa	2016.0	5.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503566	146/14	2014.0	-7	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503566	TBD: SRA Modern	NA	Africa	2014.0	7.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Rattus rattus	Rodentia	PAIRED
SAMN15503565	324/04	2004.0	-17	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503565	TBD: SRA Modern	NA	Africa	2004.0	17.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503564	409/04	2004.0	-17	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503564	TBD: SRA Modern	NA	Africa	2004.0	17.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503563	214/08	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503563	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503562	13/14	2014.0	-7	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503562	TBD: SRA Modern	NA	Africa	2014.0	7.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503561	24/14	2014.0	-7	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503561	TBD: SRA Modern	NA	Africa	2014.0	7.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN15503560	296/03	2003.0	-18	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503560	TBD: SRA Modern	NA	Africa	2003.0	18.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Rattus rattus	Rodentia	PAIRED
SAMN15503559	24/08	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN15503559	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
