sample tstv cds_sites ns_sites ss_sites ns_ss_ratio other_var other_var_ratio homo_het_sites homo_sites het_sites het_ratio
GCA_009670225.1_ASM967022v1_genomic 2.092 245 134 59 2.27119 0 0 261 245 16 0.0613027
GCA_009670235.1_ASM967023v1_genomic 2.045 244 133 60 2.21667 0 0 260 244 16 0.0615385
GCA_009670245.1_ASM967024v1_genomic 2.056 243 136 57 2.38596 1 0.0175439 260 243 17 0.0653846
GCA_009667925.1_ASM966792v1_genomic 2.023 238 133 58 2.2931 0 0 267 238 29 0.108614
GCA_009670285.1_ASM967028v1_genomic 1.881 250 136 59 2.30508 1 0.0169492 272 250 22 0.0808824
GCA_009670305.1_ASM967030v1_genomic 1.989 245 136 59 2.30508 0 0 262 245 17 0.0648855
GCA_009670345.1_ASM967034v1_genomic 1.968 247 133 61 2.18033 0 0 264 247 17 0.0643939
GCA_009667935.1_ASM966793v1_genomic 1.956 244 135 60 2.25 0 0 274 244 30 0.109489
GCA_009670355.1_ASM967035v1_genomic 2.047 235 134 58 2.31034 0 0 258 235 23 0.0891473
GCA_009670325.1_ASM967032v1_genomic 1.988 236 131 60 2.18333 0 0 261 236 25 0.0957854
GCA_009667885.1_ASM966788v1_genomic 1.957 249 141 60 2.35 0 0 269 249 20 0.0743494
GCA_009670385.1_ASM967038v1_genomic 2.081 240 131 60 2.18333 1 0.0166667 259 240 19 0.0733591
GCA_009667945.1_ASM966794v1_genomic 2.044 247 134 61 2.19672 1 0.0163934 263 247 16 0.0608365
GCA_009670415.1_ASM967041v1_genomic 1.896 250 136 60 2.26667 0 0 270 250 20 0.0740741
GCA_009667985.1_ASM966798v1_genomic 1.948 250 137 59 2.32203 1 0.0169492 266 250 16 0.0601504
GCA_009670395.1_ASM967039v1_genomic 1.827 246 134 61 2.19672 1 0.0163934 262 246 16 0.0610687
GCA_009670445.1_ASM967044v1_genomic 2.000 246 137 60 2.28333 0 0 273 246 27 0.0989011
GCA_009670465.1_ASM967046v1_genomic 1.854 250 136 63 2.15873 0 0 270 250 20 0.0740741
GCA_009670485.1_ASM967048v1_genomic 2.000 249 135 61 2.21311 0 0 273 249 24 0.0879121
GCA_009670475.1_ASM967047v1_genomic 2.094 241 132 57 2.31579 6 0.105263 275 241 34 0.123636
GCA_009670515.1_ASM967051v1_genomic 2.079 249 138 62 2.22581 0 0 273 249 24 0.0879121
GCA_009670545.1_ASM967054v1_genomic 1.946 245 132 59 2.23729 0 0 270 245 25 0.0925926
GCA_009670565.1_ASM967056v1_genomic 1.862 244 131 59 2.22034 0 0 269 244 25 0.0929368
GCA_009670575.1_ASM967057v1_genomic 1.924 243 138 57 2.42105 0 0 264 243 21 0.0795455
GCA_009670625.1_ASM967062v1_genomic 2.095 238 131 58 2.25862 0 0 258 238 20 0.0775194
GCA_009670585.1_ASM967058v1_genomic 2.000 242 134 59 2.27119 0 0 259 242 17 0.0656371
GCA_009670605.1_ASM967060v1_genomic 2.011 243 135 60 2.25 0 0 266 243 23 0.0864662
GCA_009670665.1_ASM967066v1_genomic 2.122 235 127 60 2.11667 0 0 252 235 17 0.0674603
GCA_009670675.1_ASM967067v1_genomic 1.978 244 138 59 2.33898 0 0 266 244 22 0.0827068
GCA_009670725.1_ASM967072v1_genomic 1.933 238 132 59 2.23729 0 0 267 238 29 0.108614
GCA_009670705.1_ASM967070v1_genomic 1.966 238 131 60 2.18333 0 0 266 238 28 0.105263
GCA_009670715.1_ASM967071v1_genomic 2.037 228 126 58 2.17241 0 0 256 228 28 0.109375
GCA_009670775.1_ASM967077v1_genomic 2.000 235 133 56 2.375 0 0 259 235 24 0.0926641
GCA_009670765.1_ASM967076v1_genomic 2.071 238 133 58 2.2931 0 0 266 238 28 0.105263
GCA_009670785.1_ASM967078v1_genomic 2.058 239 131 58 2.25862 1 0.0172414 253 239 14 0.055336
GCA_009670835.1_ASM967083v1_genomic 2.072 233 131 56 2.33929 0 0 248 233 15 0.0604839
GCA_009670815.1_ASM967081v1_genomic 2.012 237 134 58 2.31034 0 0 263 237 26 0.0988593
GCA_009670865.1_ASM967086v1_genomic 2.081 241 133 60 2.21667 1 0.0166667 255 241 14 0.054902
GCA_009670875.1_ASM967087v1_genomic 2.000 236 133 58 2.2931 0 0 263 236 27 0.102662
GCA_009670895.1_ASM967089v1_genomic 1.989 242 136 60 2.26667 0 0 274 242 32 0.116788
GCA_009670905.1_ASM967090v1_genomic 2.024 232 131 56 2.33929 0 0 254 232 22 0.0866142
GCA_009670935.1_ASM967093v1_genomic 2.122 236 130 59 2.20339 1 0.0169492 251 236 15 0.059761
GCA_009670995.1_ASM967099v1_genomic 2.011 240 135 58 2.32759 0 0 264 240 24 0.0909091
GCA_009296005.1_ASM929600v1_genomic 1.739 218 116 49 2.36735 1 0.0204082 256 218 38 0.148438
GCA_009363195.1_ASM936319v1_genomic 1.578 180 87 40 2.175 11 0.275 220 180 40 0.181818
GCA_009295945.1_ASM929594v1_genomic 1.718 162 80 37 2.16216 12 0.324324 185 162 23 0.124324
GCA_008630485.1_ASM863048v1_genomic 1.667 221 123 53 2.32075 0 0 226 221 5 0.0221239
GCA_008630455.1_ASM863045v1_genomic 1.784 584 319 134 2.3806 5 0.0373134 589 584 5 0.00848896
GCA_008630415.1_ASM863041v1_genomic 1.717 580 320 133 2.40602 3 0.0225564 583 580 3 0.0051458
GCA_008630395.1_ASM863039v1_genomic 1.872 222 122 52 2.34615 0 0 233 222 11 0.0472103
GCA_008630575.1_ASM863057v1_genomic 1.625 219 120 55 2.18182 0 0 233 219 14 0.0600858
GCA_006546745.1_ASM654674v1_genomic 1.580 396 201 96 2.09375 0 0 415 396 19 0.0457831
GCA_006546725.1_ASM654672v1_genomic 1.571 398 198 98 2.02041 2 0.0204082 402 398 4 0.00995025
GCA_006546665.1_ASM654666v1_genomic 1.616 404 201 100 2.01 3 0.03 427 404 23 0.0538642
GCA_006517425.1_ASM651742v1_genomic 1.534 404 198 106 1.86792 1 0.00943396 423 404 19 0.0449173
GCA_000734805.1_ASM73480v1_genomic 1.911 147 80 35 2.28571 0 0 177 147 30 0.169492
GCA_000169615.1_ASM16961v1_genomic 3.102 226 115 52 2.21154 10 0.192308 237 226 11 0.0464135
GCA_000169655.1_ASM16965v1_genomic 1.829 195 105 43 2.44186 3 0.0697674 216 195 21 0.0972222
GCA_000169675.1_ASM16967v1_genomic 2.367 149 82 32 2.5625 8 0.25 198 149 49 0.247475
GCA_000182525.1_ASM18252v1_genomic 1.625 76 42 18 2.33333 2 0.111111 98 76 22 0.22449
GCA_000324785.1_ASM32478v1_genomic 1.759 76 43 20 2.15 0 0 76 76 0 0
GCA_006376585.1_ASM637658v1_genomic 1.812 579 319 131 2.43511 5 0.0381679 582 579 3 0.00515464
GCA_006376545.1_ASM637654v1_genomic 1.523 638 358 135 2.65185 7 0.0518519 647 638 9 0.0139104
GCA_006376505.1_ASM637650v1_genomic 1.503 639 363 129 2.81395 8 0.0620155 641 639 2 0.00312012
GCA_006376495.1_ASM637649v1_genomic 1.719 218 123 45 2.73333 1 0.0222222 229 218 11 0.0480349
GCA_006376475.1_ASM637647v1_genomic 1.558 211 115 46 2.5 0 0 235 211 24 0.102128
GCA_006376435.1_ASM637643v1_genomic 1.719 220 119 51 2.33333 0 0 245 220 25 0.102041
GCA_006376415.1_ASM637641v1_genomic 1.598 218 119 50 2.38 0 0 230 218 12 0.0521739
GCA_003086155.1_ASM308615v1_genomic 1.652 214 119 49 2.42857 0 0 242 214 28 0.115702
GCA_001617705.1_Yersinia_pestis_C-791_genomic 1.767 215 121 49 2.46939 0 0 237 215 22 0.092827
GCA_003797205.1_ASM379720v1_genomic 2.048 61 29 11 2.63636 4 0.363636 84 61 23 0.27381
GCA_003798225.1_ASM379822v1_genomic 2.948 213 110 47 2.34043 9 0.191489 242 213 29 0.119835
GCA_900460465.1_57940_B01_genomic 1.706 43 23 9 2.55556 2 0.222222 64 43 21 0.328125
GCA_004023595.1_ASM402359v1_genomic 1.987 209 113 50 2.26 0 0 225 209 16 0.0711111
GCA_004023585.1_ASM402358v1_genomic 1.934 206 111 52 2.13462 0 0 226 206 20 0.0884956
GCA_002127355.1_ASM212735v1_genomic 1.579 646 357 154 2.31818 6 0.038961 673 646 27 0.0401189
GCA_002127375.1_ASM212737v1_genomic 1.770 604 333 137 2.43066 6 0.0437956 632 604 28 0.0443038
GCA_001295055.1_ASM129505v1_genomic 1.613 656 364 138 2.63768 8 0.057971 669 656 13 0.019432
GCA_001294915.1_ASM129491v1_genomic 1.562 649 358 138 2.5942 11 0.0797101 671 649 22 0.0327869
GCA_001295025.1_ASM129502v1_genomic 1.630 392 195 95 2.05263 2 0.0210526 410 392 18 0.0439024
GCA_001294905.1_ASM129490v1_genomic 1.623 643 361 132 2.73485 7 0.0530303 657 643 14 0.021309
GCA_001294985.1_ASM129498v1_genomic 1.639 650 360 133 2.70677 8 0.0601504 655 650 5 0.00763359
GCA_001295065.1_ASM129506v1_genomic 1.591 640 359 129 2.78295 7 0.0542636 659 640 19 0.0288316
GCA_001295185.1_ASM129518v1_genomic 1.610 646 363 132 2.75 7 0.0530303 662 646 16 0.0241692
GCA_001294975.1_ASM129497v1_genomic 1.536 432 222 93 2.3871 2 0.0215054 453 432 21 0.0463576
GCA_001295045.1_ASM129504v1_genomic 1.618 649 358 139 2.57554 9 0.0647482 670 649 21 0.0313433
GCA_001295145.1_ASM129514v1_genomic 1.672 429 218 91 2.3956 10 0.10989 444 429 15 0.0337838
GCA_001294805.1_ASM129480v1_genomic 1.518 432 213 93 2.29032 15 0.16129 450 432 18 0.04
GCA_001294815.1_ASM129481v1_genomic 1.553 656 364 139 2.61871 10 0.0719424 664 656 8 0.0120482
GCA_001294825.1_ASM129482v1_genomic 1.845 580 321 131 2.45038 5 0.0381679 585 580 5 0.00854701
GCA_003122795.1_Y.pestis_I-2422_genomic 1.514 389 197 93 2.11828 2 0.0215054 399 389 10 0.0250627
GCA_002981925.1_ASM298192v1_genomic 1.538 415 204 97 2.10309 9 0.0927835 439 415 24 0.0546697
GCA_002981895.1_ASM298189v1_genomic 1.511 422 203 105 1.93333 8 0.0761905 453 422 31 0.0684327
GCA_001295105.1_ASM129510v1_genomic 1.600 646 364 133 2.73684 7 0.0526316 655 646 9 0.0137405
GCA_003074535.1_ASM307453v1_genomic 1.953 166 84 42 2 7 0.166667 186 166 20 0.107527
GCA_003074595.1_ASM307459v1_genomic 1.791 161 84 43 1.95349 1 0.0232558 186 161 25 0.134409
GCA_003074335.1_ASM307433v1_genomic 1.641 216 120 47 2.55319 0 0 227 216 11 0.0484581
GCA_003074255.1_ASM307425v1_genomic 2.333 164 80 41 1.95122 10 0.243902 184 164 20 0.108696
GCA_003074175.1_ASM307417v1_genomic 1.522 417 211 88 2.39773 4 0.0454545 430 417 13 0.0302326
GCA_002993145.1_ASM299314v1_genomic 1.622 646 356 141 2.52482 7 0.0496454 668 646 22 0.0329341
GCA_003074435.1_ASM307443v1_genomic 1.601 643 363 131 2.77099 4 0.0305344 649 643 6 0.00924499
GCA_003074415.1_ASM307441v1_genomic 1.618 653 361 136 2.65441 8 0.0588235 661 653 8 0.0121029
GCA_003074395.1_ASM307439v1_genomic 1.648 638 358 133 2.69173 2 0.0150376 647 638 9 0.0139104
GCA_003074375.1_ASM307437v1_genomic 1.736 223 122 47 2.59574 3 0.0638298 245 223 22 0.0897959
GCA_003074355.1_ASM307435v1_genomic 1.707 223 120 51 2.35294 1 0.0196078 238 223 15 0.0630252
GCA_003074315.1_ASM307431v1_genomic 1.719 146 77 37 2.08108 1 0.027027 170 146 24 0.141176
GCA_003074295.1_ASM307429v1_genomic 1.678 214 115 50 2.3 1 0.02 243 214 29 0.119342
GCA_003074215.1_ASM307421v1_genomic 2.065 164 84 40 2.1 9 0.225 183 164 19 0.103825
GCA_003074195.1_ASM307419v1_genomic 1.761 151 80 40 2 0 0 178 151 27 0.151685
GCA_003074155.1_ASM307415v1_genomic 1.831 155 82 38 2.15789 1 0.0263158 170 155 15 0.0882353
GCA_003085995.1_ASM308599v1_genomic 1.688 219 122 51 2.39216 0 0 243 219 24 0.0987654
GCA_003086015.1_ASM308601v1_genomic 1.736 153 84 34 2.47059 0 0 176 153 23 0.130682
GCA_003085935.1_ASM308593v1_genomic 1.575 644 357 137 2.60584 7 0.0510949 646 644 2 0.00309598
GCA_003085975.1_ASM308597v1_genomic 1.600 217 120 49 2.44898 1 0.0204082 242 217 25 0.103306
GCA_003086055.1_ASM308605v1_genomic 1.826 223 124 52 2.38462 0 0 241 223 18 0.0746888
GCA_002412245.1_Y.pestis_A-1691_genomic 1.571 173 97 37 2.62162 3 0.0810811 206 173 33 0.160194
GCA_002412225.1_Y.pestis_A-1486_genomic 2.051 155 84 35 2.4 8 0.228571 182 155 27 0.148352
GCA_003085875.1_ASM308587v1_genomic 1.605 637 361 128 2.82031 7 0.0546875 641 637 4 0.00624025
GCA_003085915.1_ASM308591v1_genomic 2.015 155 82 40 2.05 1 0.025 170 155 15 0.0882353
GCA_003086095.1_ASM308609v1_genomic 1.553 215 117 51 2.29412 0 0 240 215 25 0.104167
GCA_003085855.1_ASM308585v1_genomic 1.614 231 125 54 2.31481 1 0.0185185 257 231 26 0.101167
GCA_001509865.1_ASM150986v1_genomic 2.190 62 21 16 1.3125 1 0.0625 62 62 0 0
GCA_001617815.1_Yersinia_pestis_M-1453_genomic 1.806 230 126 56 2.25 1 0.0178571 241 230 11 0.0456432
GCA_001617805.1_Yersinia_pestis_173_genomic 1.685 216 118 46 2.56522 1 0.0217391 228 216 12 0.0526316
GCA_001617785.1_Yersinia_pestis_M-549_genomic 1.721 214 118 49 2.40816 1 0.0204082 236 214 22 0.0932203
GCA_001617735.1_Yersinia_pestis_M-1763_genomic 2.183 240 128 61 2.09836 0 0 248 240 8 0.0322581
GCA_001613895.1_ASM161389v1_genomic 1.710 222 117 51 2.29412 1 0.0196078 234 222 12 0.0512821
GCA_001613885.1_ASM161388v1_genomic 1.678 210 121 46 2.63043 0 0 239 210 29 0.121339
GCA_001601285.1_ASM160128v1_genomic 1.985 184 93 47 1.97872 1 0.0212766 207 184 23 0.111111
GCA_001595585.1_ASM159558v1_genomic 1.708 219 121 51 2.37255 0 0 246 219 27 0.109756
GCA_000970105.1_ASM97010v1_genomic 1.747 227 122 50 2.44 2 0.04 262 227 35 0.133588
GCA_001188735.1_ASM118873v1_genomic 1.771 240 126 54 2.33333 2 0.037037 270 240 30 0.111111
GCA_001188795.1_ASM118879v1_genomic 1.554 674 368 141 2.60993 13 0.0921986 685 674 11 0.0160584
GCA_001188775.1_ASM118877v1_genomic 1.545 673 367 138 2.65942 14 0.101449 699 673 26 0.037196
GCA_001188755.1_ASM118875v1_genomic 1.617 663 361 141 2.56028 12 0.0851064 691 663 28 0.040521
GCA_001188325.1_YPY_1_genomic 1.580 674 371 136 2.72794 12 0.0882353 681 674 7 0.010279
GCA_001188335.1_DYA_1_genomic 1.614 683 373 145 2.57241 12 0.0827586 693 683 10 0.01443
GCA_001188815.1_ASM118881v1_genomic 1.745 235 121 58 2.08621 1 0.0172414 262 235 27 0.103053
GCA_001261975.1_YPW_8_IHQD_genomic 1.713 230 123 51 2.41176 2 0.0392157 267 230 37 0.138577
GCA_001188935.1_ASM118893v1_genomic 1.587 664 363 139 2.61151 12 0.0863309 694 664 30 0.0432277
GCA_001188715.1_ASM118871v1_genomic 1.568 670 369 133 2.77444 13 0.0977444 693 670 23 0.033189
GCA_001188695.1_ASM118869v1_genomic 1.583 668 364 142 2.56338 11 0.0774648 683 668 15 0.0219619
GCA_000006645.1_ASM664v1_genomic 1.832 235 126 52 2.42308 1 0.0192308 260 235 25 0.0961538
GCA_000022845.1_ASM2284v1_genomic 2.000 80 45 21 2.14286 0 0 99 80 19 0.191919
GCA_000013825.1_ASM1382v1_genomic 2.883 217 111 48 2.3125 10 0.208333 228 217 11 0.0482456
GCA_000269245.1_ASM26924v1_genomic 1.882 89 41 21 1.95238 1 0.047619 89 89 0 0
GCA_000269465.1_ASM26946v1_genomic 2.344 125 41 20 2.05 1 0.05 137 125 12 0.0875912
GCA_000269165.1_ASM26916v1_genomic 1.595 88 43 28 1.53571 2 0.0714286 88 88 0 0
GCA_000268705.1_ASM26870v1_genomic 1.563 74 35 21 1.66667 0 0 77 74 3 0.038961
GCA_000268505.1_ASM26850v1_genomic 1.657 86 38 27 1.40741 3 0.111111 86 86 0 0
GCA_000268465.1_ASM26846v1_genomic 2.063 90 40 20 2 0 0 92 90 2 0.0217391
GCA_000268625.1_ASM26862v1_genomic 2.000 77 37 22 1.68182 2 0.0909091 79 77 2 0.0253165
GCA_000268605.1_ASM26860v1_genomic 1.538 60 33 14 2.35714 0 0 61 60 1 0.0163934
GCA_000268445.1_ASM26844v1_genomic 1.771 87 35 20 1.75 2 0.1 87 87 0 0
GCA_000268425.1_ASM26842v1_genomic 3.182 85 31 22 1.40909 1 0.0454545 85 85 0 0
GCA_001188675.1_ASM118867v1_genomic 2.212 158 85 34 2.5 8 0.235294 196 158 38 0.193878
GCA_000311885.1_ASM31188v1_genomic 1.600 63 32 14 2.28571 2 0.142857 63 63 0 0
GCA_000182485.1_ASM18248v1_genomic 1.602 200 102 45 2.26667 10 0.222222 234 200 34 0.145299
GCA_000325485.1_ASM32548v1_genomic 1.667 54 28 16 1.75 0 0 54 54 0 0
GCA_000325445.1_ASM32544v1_genomic 1.522 56 29 16 1.8125 0 0 56 56 0 0
GCA_000325425.1_ASM32542v1_genomic 1.636 56 31 17 1.82353 0 0 56 56 0 0
GCA_000325405.1_ASM32540v1_genomic 1.520 58 31 18 1.72222 0 0 58 58 0 0
GCA_000325385.1_ASM32538v1_genomic 1.917 66 35 19 1.84211 0 0 66 66 0 0
GCA_000325365.1_ASM32536v1_genomic 1.778 69 38 19 2 0 0 69 69 0 0
GCA_000325345.1_ASM32534v1_genomic 1.609 168 98 41 2.39024 0 0 168 168 0 0
GCA_000325325.1_ASM32532v1_genomic 1.800 172 99 41 2.41463 0 0 172 172 0 0
GCA_000325305.1_ASM32530v1_genomic 2.057 148 76 42 1.80952 0 0 148 148 0 0
GCA_000325285.1_ASM32528v1_genomic 1.942 142 75 38 1.97368 0 0 142 142 0 0
GCA_000325265.1_ASM32526v1_genomic 2.020 140 72 37 1.94595 0 0 140 140 0 0
GCA_000325245.1_ASM32524v1_genomic 1.817 156 83 40 2.075 0 0 156 156 0 0
GCA_000325225.1_ASM32522v1_genomic 1.618 137 74 35 2.11429 0 0 138 137 1 0.00724638
GCA_000325205.1_ASM32520v1_genomic 2.185 160 82 44 1.86364 0 0 160 160 0 0
GCA_000325185.1_ASM32518v1_genomic 1.516 375 207 80 2.5875 1 0.0125 375 375 0 0
GCA_000325165.1_ASM32516v1_genomic 1.548 75 45 15 3 0 0 75 75 0 0
GCA_000325125.1_ASM32512v1_genomic 1.712 183 105 43 2.44186 0 0 183 183 0 0
GCA_000325105.1_ASM32510v1_genomic 1.815 172 98 39 2.51282 0 0 172 172 0 0
GCA_000325085.1_ASM32508v1_genomic 1.597 184 104 41 2.53659 0 0 184 184 0 0
GCA_000325065.1_ASM32506v1_genomic 1.838 183 104 45 2.31111 0 0 183 183 0 0
GCA_000325045.1_ASM32504v1_genomic 1.700 178 102 41 2.4878 0 0 178 178 0 0
GCA_000325025.1_ASM32502v1_genomic 1.806 174 98 41 2.39024 0 0 174 174 0 0
GCA_000325005.1_ASM32500v1_genomic 1.818 174 102 38 2.68421 0 0 174 174 0 0
GCA_000324985.1_ASM32498v1_genomic 1.738 164 95 37 2.56757 0 0 164 164 0 0
GCA_000324965.1_ASM32496v1_genomic 1.855 164 89 38 2.34211 0 0 164 164 0 0
GCA_000324945.1_ASM32494v1_genomic 1.746 163 92 40 2.3 0 0 163 163 0 0
GCA_000324905.1_ASM32490v1_genomic 1.917 164 94 36 2.61111 0 0 164 164 0 0
GCA_000324885.1_ASM32488v1_genomic 1.881 159 93 35 2.65714 0 0 159 159 0 0
GCA_000324845.1_ASM32484v1_genomic 1.759 77 43 20 2.15 0 0 77 77 0 0
GCA_000324765.1_ASM32476v1_genomic 1.667 67 37 18 2.05556 0 0 67 67 0 0
GCA_000324745.1_ASM32474v1_genomic 1.618 79 43 18 2.38889 0 0 79 79 0 0
GCA_000324725.1_ASM32472v1_genomic 1.929 76 42 16 2.625 0 0 76 76 0 0
GCA_000324705.1_ASM32470v1_genomic 2.455 75 42 17 2.47059 0 0 75 75 0 0
GCA_000324685.1_ASM32468v1_genomic 1.656 81 48 16 3 0 0 81 81 0 0
GCA_000324665.1_ASM32466v1_genomic 1.549 381 207 81 2.55556 1 0.0123457 381 381 0 0
GCA_000324605.1_ASM32460v1_genomic 1.676 176 100 41 2.43902 0 0 176 176 0 0
GCA_000324585.1_ASM32458v1_genomic 1.912 153 84 39 2.15385 0 0 153 153 0 0
GCA_000324565.1_ASM32456v1_genomic 1.903 170 91 41 2.21951 0 0 170 170 0 0
GCA_000324545.1_ASM32454v1_genomic 1.774 161 89 40 2.225 0 0 161 161 0 0
GCA_000324505.1_ASM32450v1_genomic 1.672 166 90 40 2.25 0 0 166 166 0 0
GCA_000324485.1_ASM32448v1_genomic 1.726 166 97 40 2.425 0 0 166 166 0 0
GCA_000324465.1_ASM32446v1_genomic 1.512 380 209 84 2.4881 0 0 380 380 0 0
GCA_000324445.1_ASM32444v1_genomic 1.871 169 94 41 2.29268 0 0 169 169 0 0
GCA_000324425.1_ASM32442v1_genomic 1.700 53 30 15 2 0 0 53 53 0 0
GCA_000324405.1_ASM32440v1_genomic 1.656 82 48 21 2.28571 0 0 82 82 0 0
GCA_000324385.1_ASM32438v1_genomic 1.958 66 36 17 2.11765 0 0 66 66 0 0
GCA_000324345.1_ASM32434v1_genomic 1.895 242 137 61 2.2459 0 0 242 242 0 0
GCA_000324325.1_ASM32432v1_genomic 1.800 118 63 31 2.03226 0 0 118 118 0 0
GCA_000324305.1_ASM32430v1_genomic 1.839 167 89 41 2.17073 0 0 167 167 0 0
GCA_000324285.1_ASM32428v1_genomic 1.875 64 37 16 2.3125 0 0 64 64 0 0
GCA_000324265.1_ASM32426v1_genomic 1.889 172 93 40 2.325 0 0 172 172 0 0
GCA_000324245.1_ASM32424v1_genomic 1.915 162 89 37 2.40541 0 0 162 162 0 0
GCA_000324225.1_ASM32422v1_genomic 2.026 223 127 53 2.39623 0 0 223 223 0 0
GCA_000324205.1_ASM32420v1_genomic 1.774 248 141 66 2.13636 0 0 248 248 0 0
GCA_000324185.1_ASM32418v1_genomic 1.667 229 133 56 2.375 0 0 229 229 0 0
GCA_000324165.1_ASM32416v1_genomic 2.214 129 74 31 2.3871 0 0 129 129 0 0
GCA_000324145.1_ASM32414v1_genomic 1.823 164 94 36 2.61111 0 0 164 164 0 0
GCA_000324125.1_ASM32412v1_genomic 1.612 162 91 37 2.45946 0 0 162 162 0 0
GCA_000324085.1_ASM32408v1_genomic 1.893 75 41 16 2.5625 0 0 75 75 0 0
GCA_000324065.1_ASM32406v1_genomic 2.071 119 68 30 2.26667 0 0 119 119 0 0
GCA_000324025.1_ASM32402v1_genomic 1.879 176 101 39 2.58974 0 0 176 176 0 0
GCA_000324005.1_ASM32400v1_genomic 1.984 169 96 39 2.46154 0 0 169 169 0 0
GCA_000323965.1_ASM32396v1_genomic 1.571 67 38 16 2.375 0 0 67 67 0 0
GCA_000323945.1_ASM32394v1_genomic 1.676 179 104 45 2.31111 0 0 179 179 0 0
GCA_000323925.1_ASM32392v1_genomic 2.036 163 90 39 2.30769 0 0 163 163 0 0
GCA_000323905.1_ASM32390v1_genomic 1.933 165 91 38 2.39474 0 0 165 165 0 0
GCA_000323885.1_ASM32388v1_genomic 2.000 76 41 19 2.15789 0 0 76 76 0 0
