sample	non_synonymous	synonymous	ratio
GCA_009670155.1_ASM967015v1_genomic	199	62	3.20968
GCA_009670105.1_ASM967010v1_genomic	201	60	3.35
GCA_009670185.1_ASM967018v1_genomic	208	57	3.64912
GCA_009670205.1_ASM967020v1_genomic	204	61	3.34426
GCA_009670225.1_ASM967022v1_genomic	202	59	3.42373
GCA_009670235.1_ASM967023v1_genomic	204	61	3.34426
GCA_009670245.1_ASM967024v1_genomic	206	57	3.61404
GCA_009667925.1_ASM966792v1_genomic	206	58	3.55172
GCA_009670285.1_ASM967028v1_genomic	203	60	3.38333
GCA_009670305.1_ASM967030v1_genomic	205	60	3.41667
GCA_009670345.1_ASM967034v1_genomic	206	63	3.26984
GCA_009667935.1_ASM966793v1_genomic	206	60	3.43333
GCA_009670355.1_ASM967035v1_genomic	205	58	3.53448
GCA_009670325.1_ASM967032v1_genomic	207	60	3.45
GCA_009667885.1_ASM966788v1_genomic	211	61	3.45902
GCA_009670385.1_ASM967038v1_genomic	198	60	3.3
GCA_009667945.1_ASM966794v1_genomic	208	62	3.35484
GCA_009670415.1_ASM967041v1_genomic	200	62	3.22581
GCA_009667985.1_ASM966798v1_genomic	207	60	3.45
GCA_009670395.1_ASM967039v1_genomic	200	61	3.27869
GCA_009670445.1_ASM967044v1_genomic	210	60	3.5
GCA_009670465.1_ASM967046v1_genomic	204	64	3.1875
GCA_009670485.1_ASM967048v1_genomic	207	61	3.39344
GCA_009670475.1_ASM967047v1_genomic	209	57	3.66667
GCA_009670515.1_ASM967051v1_genomic	211	63	3.34921
GCA_009670545.1_ASM967054v1_genomic	202	60	3.36667
GCA_009670565.1_ASM967056v1_genomic	204	59	3.45763
GCA_009670575.1_ASM967057v1_genomic	210	57	3.68421
GCA_009670625.1_ASM967062v1_genomic	200	58	3.44828
GCA_009670585.1_ASM967058v1_genomic	203	60	3.38333
GCA_009670605.1_ASM967060v1_genomic	206	60	3.43333
GCA_009670665.1_ASM967066v1_genomic	193	60	3.21667
GCA_009670675.1_ASM967067v1_genomic	211	60	3.51667
GCA_009670725.1_ASM967072v1_genomic	202	59	3.42373
GCA_009670705.1_ASM967070v1_genomic	202	60	3.36667
GCA_009670715.1_ASM967071v1_genomic	194	58	3.34483
GCA_009670775.1_ASM967077v1_genomic	205	56	3.66071
GCA_009670765.1_ASM967076v1_genomic	205	58	3.53448
GCA_009670785.1_ASM967078v1_genomic	196	58	3.37931
GCA_009670835.1_ASM967083v1_genomic	201	56	3.58929
GCA_009670815.1_ASM967081v1_genomic	206	58	3.55172
GCA_009670865.1_ASM967086v1_genomic	199	60	3.31667
GCA_009670875.1_ASM967087v1_genomic	202	58	3.48276
GCA_009670895.1_ASM967089v1_genomic	206	60	3.43333
GCA_009670905.1_ASM967090v1_genomic	202	56	3.60714
GCA_009670935.1_ASM967093v1_genomic	196	59	3.32203
GCA_009670995.1_ASM967099v1_genomic	210	58	3.62069
GCA_009296005.1_ASM929600v1_genomic	188	49	3.83673
GCA_009363195.1_ASM936319v1_genomic	177	40	4.425
GCA_009295945.1_ASM929594v1_genomic	150	37	4.05405
GCA_008630485.1_ASM863048v1_genomic	411	53	7.75472
GCA_008630455.1_ASM863045v1_genomic	527	135	3.9037
GCA_008630435.1_ASM863043v1_genomic	467	74	6.31081
GCA_008630415.1_ASM863041v1_genomic	784	133	5.89474
GCA_008630395.1_ASM863039v1_genomic	381	52	7.32692
GCA_008630575.1_ASM863057v1_genomic	396	58	6.82759
GCA_008630375.1_ASM863037v1_genomic	2928	93	31.4839
GCA_008630375.2_ASM863037v2_genomic	3667	94	39.0106
GCA_006546745.1_ASM654674v1_genomic	389	97	4.01031
GCA_006546725.1_ASM654672v1_genomic	446	99	4.50505
GCA_006546665.1_ASM654666v1_genomic	390	101	3.86139
GCA_006517425.1_ASM651742v1_genomic	383	106	3.61321
GCA_000834775.1_ASM83477v1_genomic	33	4	8.25
GCA_000834335.1_ASM83433v1_genomic	28	5	5.6
GCA_000734805.1_ASM73480v1_genomic	500	35	14.2857
GCA_000834275.1_ASM83427v1_genomic	401	102	3.93137
GCA_000169615.1_ASM16961v1_genomic	202	53	3.81132
GCA_000169635.1_ASM16963v1_genomic	59	15	3.93333
GCA_000169655.1_ASM16965v1_genomic	174	43	4.04651
GCA_000169675.1_ASM16967v1_genomic	146	32	4.5625
GCA_000170275.1_ASM17027v1_genomic	63	18	3.5
GCA_000168235.2_ASM16823v2_genomic	66	11	6
GCA_000182525.1_ASM18252v1_genomic	71	18	3.94444
GCA_000182505.1_ASM18250v1_genomic	50	11	4.54545
GCA_000324785.1_ASM32478v1_genomic	70	20	3.5
GCA_006376585.1_ASM637658v1_genomic	555	132	4.20455
GCA_006376575.1_ASM637657v1_genomic	321	52	6.17308
GCA_006376535.1_ASM637653v1_genomic	1014	51	19.8824
GCA_006376535.2_ASM637653v2_genomic	1876	71	26.4225
GCA_006376545.1_ASM637654v1_genomic	881	137	6.43066
GCA_006376505.1_ASM637650v1_genomic	888	130	6.83077
GCA_006376495.1_ASM637649v1_genomic	351	45	7.8
GCA_006376475.1_ASM637647v1_genomic	1280	48	26.6667
GCA_006376435.1_ASM637643v1_genomic	444	51	8.70588
GCA_006376415.1_ASM637641v1_genomic	538	51	10.549
GCA_003086155.1_ASM308615v1_genomic	603	49	12.3061
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	1594	54	29.5185
GCA_001617705.1_Yersinia_pestis_C-791_genomic	582	50	11.64
GCA_000834495.1_ASM83449v1_genomic	36	6	6
GCA_000986995.1_YPES001-SEQ-2-ASM-1_genomic	91	26	3.5
GCA_003797205.1_ASM379720v1_genomic	54	11	4.90909
GCA_003798085.1_ASM379808v1_genomic	49	11	4.45455
GCA_003798225.1_ASM379822v1_genomic	196	47	4.17021
GCA_900460465.1_57940_B01_genomic	49	9	5.44444
GCA_001487065.1_Yersinia_pestis_genomic	130	44	2.95455
GCA_004023595.1_ASM402359v1_genomic	175	50	3.5
GCA_004023585.1_ASM402358v1_genomic	173	52	3.32692
GCA_002188775.1_ASM218877v1_genomic	443	137	3.23358
GCA_002188725.1_ASM218872v1_genomic	457	136	3.36029
GCA_002188765.1_ASM218876v1_genomic	491	152	3.23026
GCA_002188685.1_ASM218868v1_genomic	421	127	3.31496
GCA_002173795.1_ASM217379v1_genomic	389	119	3.26891
GCA_001972475.1_ASM197247v1_genomic	467	138	3.38406
GCA_002173805.1_ASM217380v1_genomic	535	141	3.79433
GCA_001972515.1_ASM197251v1_genomic	428	124	3.45161
GCA_002173815.1_ASM217381v1_genomic	441	126	3.5
GCA_001972405.1_ASM197240v1_genomic	653	196	3.33163
GCA_001972385.1_ASM197238v1_genomic	764	221	3.45701
GCA_001972395.1_ASM197239v1_genomic	674	189	3.56614
GCA_001972465.1_ASM197246v1_genomic	678	197	3.44162
GCA_002127355.1_ASM212735v1_genomic	519	154	3.37013
GCA_002127375.1_ASM212737v1_genomic	495	137	3.61314
GCA_002165475.1_ASM216547v1_genomic	595	176	3.38068
GCA_002127365.1_ASM212736v1_genomic	560	176	3.18182
GCA_001295055.1_ASM129505v1_genomic	754	139	5.42446
GCA_001294915.1_ASM129491v1_genomic	686	138	4.97101
GCA_001295025.1_ASM129502v1_genomic	485	96	5.05208
GCA_001294905.1_ASM129490v1_genomic	730	133	5.48872
GCA_001294985.1_ASM129498v1_genomic	797	133	5.99248
GCA_001295115.1_ASM129511v1_genomic	549	95	5.77895
GCA_001295065.1_ASM129506v1_genomic	764	130	5.87692
GCA_001295185.1_ASM129518v1_genomic	709	132	5.37121
GCA_001294975.1_ASM129497v1_genomic	539	96	5.61458
GCA_001294965.1_ASM129496v1_genomic	497	91	5.46154
GCA_001295045.1_ASM129504v1_genomic	667	139	4.79856
GCA_001295145.1_ASM129514v1_genomic	488	92	5.30435
GCA_001294885.1_ASM129488v1_genomic	559	104	5.375
GCA_001294805.1_ASM129480v1_genomic	551	94	5.8617
GCA_001294815.1_ASM129481v1_genomic	614	140	4.38571
GCA_001294825.1_ASM129482v1_genomic	614	131	4.68702
GCA_000950945.1_ASM95094v1_genomic	474	109	4.34862
GCA_003122795.1_Y.pestis_I-2422_genomic	1182	93	12.7097
GCA_002981995.1_ASM298199v1_genomic	342	112	3.05357
GCA_002981925.1_ASM298192v1_genomic	333	97	3.43299
GCA_002981915.1_ASM298191v1_genomic	333	104	3.20192
GCA_002981955.1_ASM298195v1_genomic	361	110	3.28182
GCA_002981895.1_ASM298189v1_genomic	334	105	3.18095
GCA_001295105.1_ASM129510v1_genomic	664	134	4.95522
GCA_003074535.1_ASM307453v1_genomic	236	42	5.61905
GCA_003074595.1_ASM307459v1_genomic	199	45	4.42222
GCA_003074335.1_ASM307433v1_genomic	279	47	5.93617
GCA_003074255.1_ASM307425v1_genomic	838	41	20.439
GCA_003074175.1_ASM307417v1_genomic	717	91	7.87912
GCA_002993145.1_ASM299314v1_genomic	583	142	4.10563
GCA_002005285.1_ASM200528v1_genomic	1147	49	23.4082
GCA_003074435.1_ASM307443v1_genomic	665	131	5.07634
GCA_003074415.1_ASM307441v1_genomic	584	137	4.26277
GCA_003074395.1_ASM307439v1_genomic	555	133	4.17293
GCA_003074375.1_ASM307437v1_genomic	251	47	5.34043
GCA_003074355.1_ASM307435v1_genomic	279	52	5.36538
GCA_003074315.1_ASM307431v1_genomic	432	37	11.6757
GCA_003074295.1_ASM307429v1_genomic	499	51	9.78431
GCA_003074275.1_ASM307427v1_genomic	2597	52	49.9423
GCA_003074235.1_ASM307423v1_genomic	2039	44	46.3409
GCA_003074215.1_ASM307421v1_genomic	267	40	6.675
GCA_003074195.1_ASM307419v1_genomic	289	40	7.225
GCA_003074155.1_ASM307415v1_genomic	285	38	7.5
GCA_003085995.1_ASM308599v1_genomic	432	51	8.47059
GCA_002412255.1_Y.pestis_A-1836_genomic	9270	49	189.184
GCA_003086015.1_ASM308601v1_genomic	385	34	11.3235
GCA_003085935.1_ASM308593v1_genomic	645	137	4.70803
GCA_003085975.1_ASM308597v1_genomic	624	49	12.7347
GCA_003086055.1_ASM308605v1_genomic	317	52	6.09615
GCA_003085955.1_ASM308595v1_genomic	1211	86	14.0814
GCA_003085895.1_ASM308589v1_genomic	689	93	7.4086
GCA_002412245.1_Y.pestis_A-1691_genomic	1260	37	34.0541
GCA_002412225.1_Y.pestis_A-1486_genomic	1203	36	33.4167
GCA_003085875.1_ASM308587v1_genomic	738	129	5.72093
GCA_002412235.1_Y.pestis_A-1249_genomic	1331	103	12.9223
GCA_003085915.1_ASM308591v1_genomic	1217	40	30.425
GCA_002412305.1_Y.pestis_A-1809_genomic	6777	58	116.845
GCA_003086095.1_ASM308609v1_genomic	665	51	13.0392
GCA_003086115.1_ASM308611v1_genomic	9505	65	146.231
GCA_003086075.1_ASM308607v1_genomic	8475	61	138.934
GCA_003086035.1_ASM308603v1_genomic	1137	88	12.9205
GCA_001693595.1_ASM169359v1_genomic	100	7	14.2857
GCA_003085855.1_ASM308585v1_genomic	369	54	6.83333
GCA_000835005.1_ASM83500v1_genomic	187	53	3.5283
GCA_001559935.1_ASM155993v1_genomic	3716	53	70.1132
GCA_001509855.1_ASM150985v1_genomic	49	11	4.45455
GCA_001509865.1_ASM150986v1_genomic	40	16	2.5
GCA_001617815.1_Yersinia_pestis_M-1453_genomic	436	58	7.51724
GCA_001617805.1_Yersinia_pestis_173_genomic	248	46	5.3913
GCA_001617785.1_Yersinia_pestis_M-549_genomic	239	49	4.87755
GCA_001617715.1_Yersinia_pestis_M-519_genomic	325	60	5.41667
GCA_001617735.1_Yersinia_pestis_M-1763_genomic	375	61	6.14754
GCA_001613895.1_ASM161389v1_genomic	278	51	5.45098
GCA_001613885.1_ASM161388v1_genomic	550	47	11.7021
GCA_001613865.1_ASM161386v1_genomic	9658	66	146.333
GCA_001601285.1_ASM160128v1_genomic	845	47	17.9787
GCA_001601735.1_ASM160173v1_genomic	7460	97	76.9072
GCA_001601675.1_ASM160167v1_genomic	8170	143	57.1329
GCA_001595585.1_ASM159558v1_genomic	555	52	10.6731
GCA_000834755.1_ASM83475v1_genomic	51	5	10.2
GCA_000834905.1_ASM83490v1_genomic	53	11	4.81818
GCA_000970105.1_ASM97010v1_genomic	183	50	3.66
GCA_001188735.1_ASM118873v1_genomic	202	54	3.74074
GCA_001188795.1_ASM118879v1_genomic	546	141	3.87234
GCA_001188775.1_ASM118877v1_genomic	544	138	3.94203
GCA_001188755.1_ASM118875v1_genomic	534	142	3.76056
GCA_001188325.1_YPY_1_genomic	549	136	4.03676
GCA_001188335.1_DYA_1_genomic	561	145	3.86897
GCA_001188815.1_ASM118881v1_genomic	183	58	3.15517
GCA_001261975.1_YPW_8_IHQD_genomic	185	52	3.55769
GCA_001261985.1_YPW_3_IHQD_genomic	66	11	6
GCA_001188935.1_ASM118893v1_genomic	541	139	3.89209
GCA_001188715.1_ASM118871v1_genomic	534	133	4.01504
GCA_001188695.1_ASM118869v1_genomic	541	142	3.80986
GCA_000006645.1_ASM664v1_genomic	204	52	3.92308
GCA_000022845.1_ASM2284v1_genomic	87	21	4.14286
GCA_000022825.1_ASM2282v1_genomic	388	38	10.2105
GCA_000022805.1_ASM2280v1_genomic	265	47	5.6383
GCA_000007885.1_ASM788v1_genomic	372	97	3.83505
GCA_000013825.1_ASM1382v1_genomic	211	49	4.30612
GCA_000475155.2_YP24H_v2_genomic	602	9	66.8889
GCA_000475115.2_YP113_v2_genomic	303	13	23.3077
GCA_000475095.2_YP009_v2_genomic	744	15	49.6
GCA_000475135.2_YPS03_v2_genomic	723	64	11.2969
GCA_000705315.1_EDB10_058v1_genomic	34	11	3.09091
GCA_000324805.2_EV76-CN_genomic	96	43	2.23256
GCA_000182705.1_ASM18270v1_genomic	649	54	12.0185
GCA_000834885.1_ASM83488v1_genomic	379	95	3.98947
GCA_000269245.1_ASM26924v1_genomic	60	22	2.72727
GCA_000269465.1_ASM26946v1_genomic	65	21	3.09524
GCA_000269165.1_ASM26916v1_genomic	64	29	2.2069
GCA_000268705.1_ASM26870v1_genomic	53	22	2.40909
GCA_000268505.1_ASM26850v1_genomic	58	28	2.07143
GCA_000268645.1_ASM26864v1_genomic	54	20	2.7
GCA_000268465.1_ASM26846v1_genomic	59	21	2.80952
GCA_000268625.1_ASM26862v1_genomic	58	23	2.52174
GCA_000268605.1_ASM26860v1_genomic	52	14	3.71429
GCA_000268445.1_ASM26844v1_genomic	55	21	2.61905
GCA_000268425.1_ASM26842v1_genomic	50	24	2.08333
GCA_000268405.1_ASM26840v1_genomic	59	26	2.26923
GCA_001188675.1_ASM118867v1_genomic	141	34	4.14706
GCA_000590535.1_EV_NIIEG_genomic	1174	9	130.444
GCA_000590535.2_ASM59053v2_genomic	61	9	6.77778
GCA_000311885.1_ASM31188v1_genomic	34	14	2.42857
GCA_000255855.1_ASM25585v1_genomic	207	9	23
GCA_000255835.1_ASM25583v1_genomic	75	7	10.7143
GCA_000255815.1_ASM25581v1_genomic	39	5	7.8
GCA_000255735.1_ASM25573v1_genomic	35	6	5.83333
GCA_000255795.1_ASM25579v1_genomic	118	5	23.6
GCA_000255755.1_ASM25575v1_genomic	120	7	17.1429
GCA_000255895.1_ASM25589v1_genomic	91	8	11.375
GCA_000255875.1_ASM25587v1_genomic	106	8	13.25
GCA_000255775.1_ASM25577v1_genomic	62	4	15.5
GCA_000182485.1_ASM18248v1_genomic	192	45	4.26667
GCA_000181455.2_ASM18145v2_genomic	28	5	5.6
GCA_000325485.1_ASM32548v1_genomic	46	16	2.875
GCA_000325465.1_ASM32546v1_genomic	64	23	2.78261
GCA_000325445.1_ASM32544v1_genomic	50	16	3.125
GCA_000325425.1_ASM32542v1_genomic	49	17	2.88235
GCA_000325405.1_ASM32540v1_genomic	50	19	2.63158
GCA_000325385.1_ASM32538v1_genomic	63	19	3.31579
GCA_000325365.1_ASM32536v1_genomic	69	19	3.63158
GCA_000325345.1_ASM32534v1_genomic	156	42	3.71429
GCA_000325325.1_ASM32532v1_genomic	149	41	3.63415
GCA_000325305.1_ASM32530v1_genomic	121	42	2.88095
GCA_000325285.1_ASM32528v1_genomic	113	38	2.97368
GCA_000325265.1_ASM32526v1_genomic	107	37	2.89189
GCA_000325245.1_ASM32524v1_genomic	119	40	2.975
GCA_000325225.1_ASM32522v1_genomic	107	35	3.05714
GCA_000325205.1_ASM32520v1_genomic	140	44	3.18182
GCA_000325185.1_ASM32518v1_genomic	305	81	3.76543
GCA_000325165.1_ASM32516v1_genomic	72	15	4.8
GCA_000325125.1_ASM32512v1_genomic	147	43	3.4186
GCA_000325105.1_ASM32510v1_genomic	146	39	3.74359
GCA_000325085.1_ASM32508v1_genomic	153	42	3.64286
GCA_000325065.1_ASM32506v1_genomic	156	45	3.46667
GCA_000325045.1_ASM32504v1_genomic	152	41	3.70732
GCA_000325025.1_ASM32502v1_genomic	150	41	3.65854
GCA_000325005.1_ASM32500v1_genomic	150	38	3.94737
GCA_000324985.1_ASM32498v1_genomic	143	37	3.86486
GCA_000324965.1_ASM32496v1_genomic	138	38	3.63158
GCA_000324945.1_ASM32494v1_genomic	130	40	3.25
GCA_000324925.1_ASM32492v1_genomic	518	143	3.62238
GCA_000324905.1_ASM32490v1_genomic	146	36	4.05556
GCA_000324885.1_ASM32488v1_genomic	145	35	4.14286
GCA_000324865.1_ASM32486v1_genomic	50	15	3.33333
GCA_000324845.1_ASM32484v1_genomic	68	20	3.4
GCA_000324825.1_ASM32482v1_genomic	55	7	7.85714
GCA_000324765.1_ASM32476v1_genomic	59	18	3.27778
GCA_000324745.1_ASM32474v1_genomic	83	18	4.61111
GCA_000324725.1_ASM32472v1_genomic	69	16	4.3125
GCA_000324705.1_ASM32470v1_genomic	79	17	4.64706
GCA_000324685.1_ASM32468v1_genomic	73	16	4.5625
GCA_000324665.1_ASM32466v1_genomic	309	83	3.72289
GCA_000324645.1_ASM32464v1_genomic	48	17	2.82353
GCA_000324625.1_ASM32462v1_genomic	57	15	3.8
GCA_000324605.1_ASM32460v1_genomic	153	42	3.64286
GCA_000324585.1_ASM32458v1_genomic	131	39	3.35897
GCA_000324565.1_ASM32456v1_genomic	140	41	3.41463
GCA_000324545.1_ASM32454v1_genomic	140	40	3.5
GCA_000324525.1_ASM32452v1_genomic	315	94	3.35106
GCA_000324505.1_ASM32450v1_genomic	138	40	3.45
GCA_000324485.1_ASM32448v1_genomic	146	40	3.65
GCA_000324465.1_ASM32446v1_genomic	298	85	3.50588
GCA_000324445.1_ASM32444v1_genomic	142	41	3.46341
GCA_000324425.1_ASM32442v1_genomic	47	15	3.13333
GCA_000324405.1_ASM32440v1_genomic	74	21	3.52381
GCA_000324385.1_ASM32438v1_genomic	75	17	4.41176
GCA_000324365.1_ASM32436v1_genomic	68	20	3.4
GCA_000324345.1_ASM32434v1_genomic	196	61	3.21311
GCA_000324325.1_ASM32432v1_genomic	101	31	3.25806
GCA_000324305.1_ASM32430v1_genomic	139	42	3.30952
GCA_000324285.1_ASM32428v1_genomic	59	17	3.47059
GCA_000324265.1_ASM32426v1_genomic	143	40	3.575
GCA_000324245.1_ASM32424v1_genomic	139	37	3.75676
GCA_000324225.1_ASM32422v1_genomic	186	53	3.50943
GCA_000324205.1_ASM32420v1_genomic	201	66	3.04545
GCA_000324185.1_ASM32418v1_genomic	191	56	3.41071
GCA_000324165.1_ASM32416v1_genomic	119	31	3.83871
GCA_000324145.1_ASM32414v1_genomic	147	36	4.08333
GCA_000324125.1_ASM32412v1_genomic	143	37	3.86486
GCA_000324105.1_ASM32410v1_genomic	68	16	4.25
GCA_000324085.1_ASM32408v1_genomic	73	16	4.5625
GCA_000324065.1_ASM32406v1_genomic	105	33	3.18182
GCA_000324045.1_ASM32404v1_genomic	315	85	3.70588
GCA_000324025.1_ASM32402v1_genomic	152	39	3.89744
GCA_000324005.1_ASM32400v1_genomic	148	39	3.79487
GCA_000323985.1_ASM32398v1_genomic	45	8	5.625
GCA_000323965.1_ASM32396v1_genomic	71	16	4.4375
GCA_000323945.1_ASM32394v1_genomic	149	45	3.31111
GCA_000323925.1_ASM32392v1_genomic	141	39	3.61538
GCA_000323905.1_ASM32390v1_genomic	140	38	3.68421
GCA_000323885.1_ASM32388v1_genomic	70	19	3.68421
GCA_000323865.1_ASM32386v1_genomic	71	17	4.17647
GCA_000323845.1_ASM32384v1_genomic	408	117	3.48718
GCA_000323825.1_ASM32382v1_genomic	67	15	4.46667
GCA_000323805.1_ASM32380v1_genomic	71	17	4.17647
GCA_000323785.1_ASM32378v1_genomic	70	18	3.88889
GCA_000323765.1_ASM32376v1_genomic	111	36	3.08333
GCA_000323745.1_ASM32374v1_genomic	61	15	4.06667
GCA_000323725.1_ASM32372v1_genomic	161	38	4.23684
GCA_000323705.1_ASM32370v1_genomic	119	30	3.96667
GCA_000323685.1_ASM32368v1_genomic	74	17	4.35294
GCA_000323665.1_ASM32366v1_genomic	186	55	3.38182
GCA_000323645.1_ASM32364v1_genomic	142	39	3.64103
GCA_000323625.1_ASM32362v1_genomic	269	71	3.78873
GCA_000323605.1_ASM32360v1_genomic	72	18	4
GCA_000323585.1_ASM32358v1_genomic	146	39	3.74359
GCA_000323565.1_ASM32356v1_genomic	155	36	4.30556
GCA_000323545.1_ASM32354v1_genomic	69	14	4.92857
GCA_000323525.1_ASM32352v1_genomic	109	36	3.02778
GCA_000323505.1_ASM32350v1_genomic	112	33	3.39394
GCA_000323485.1_ASM32348v1_genomic	436	123	3.54472
GCA_000323465.1_ASM32346v1_genomic	143	38	3.76316
GCA_000323445.1_ASM32344v1_genomic	70	17	4.11765
GCA_000323425.1_ASM32342v1_genomic	200	61	3.27869
GCA_000323405.1_ASM32340v1_genomic	119	33	3.60606
GCA_000323385.1_ASM32338v1_genomic	118	32	3.6875
GCA_000323365.1_ASM32336v1_genomic	179	53	3.37736
GCA_000323345.1_ASM32334v1_genomic	136	35	3.88571
GCA_000323325.1_ASM32332v1_genomic	135	40	3.375
GCA_000323305.1_ASM32330v1_genomic	129	37	3.48649
GCA_000323285.1_ASM32328v1_genomic	64	17	3.76471
GCA_000323245.1_ASM32324v1_genomic	162	43	3.76744
GCA_000323225.1_ASM32322v1_genomic	164	46	3.56522
GCA_000323205.1_ASM32320v1_genomic	164	46	3.56522
GCA_000320465.1_ASM32046v1_genomic	112	32	3.5
GCA_000320445.1_ASM32044v1_genomic	136	35	3.88571
GCA_000323185.1_ASM32318v1_genomic	196	57	3.4386
GCA_000320425.1_ASM32042v1_genomic	266	68	3.91176
GCA_000275685.1_ASM27568v1_genomic	180	52	3.46154
GCA_000382505.1_Yersinia_pestis_G1670E_assembly_genomic	621	140	4.43571
GCA_000269485.1_ASM26948v1_genomic	52	22	2.36364
GCA_000269225.1_ASM26922v1_genomic	59	23	2.56522
GCA_000269205.1_ASM26920v1_genomic	57	24	2.375
GCA_000269185.1_ASM26918v1_genomic	56	24	2.33333
GCA_000269145.1_ASM26914v1_genomic	52	19	2.73684
GCA_000269445.1_ASM26944v1_genomic	64	29	2.2069
GCA_000269425.1_ASM26942v1_genomic	54	19	2.84211
GCA_000269125.1_ASM26912v1_genomic	51	19	2.68421
GCA_000269105.1_ASM26910v1_genomic	54	22	2.45455
GCA_000269085.1_ASM26908v1_genomic	60	26	2.30769
GCA_000269065.1_ASM26906v1_genomic	71	33	2.15152
GCA_000269045.1_ASM26904v1_genomic	58	22	2.63636
GCA_000269405.1_ASM26940v1_genomic	57	25	2.28
GCA_000269025.1_ASM26902v1_genomic	50	17	2.94118
GCA_000269005.1_ASM26900v1_genomic	41	15	2.73333
GCA_000268985.1_ASM26898v1_genomic	44	11	4
GCA_000269385.1_ASM26938v1_genomic	47	17	2.76471
GCA_000268965.1_ASM26896v1_genomic	63	20	3.15
GCA_000268945.1_ASM26894v1_genomic	57	21	2.71429
GCA_000268925.1_ASM26892v1_genomic	71	26	2.73077
GCA_000269365.1_ASM26936v1_genomic	68	21	3.2381
GCA_000268905.1_ASM26890v1_genomic	49	22	2.22727
GCA_000268885.1_ASM26888v1_genomic	52	22	2.36364
GCA_000268865.1_ASM26886v1_genomic	58	23	2.52174
GCA_000268865.2_ASM26886v2_genomic	58	23	2.52174
GCA_000268845.1_ASM26884v1_genomic	53	17	3.11765
GCA_000268825.1_ASM26882v1_genomic	58	23	2.52174
GCA_000268805.1_ASM26880v1_genomic	51	20	2.55
GCA_000268805.2_ASM26880v2_genomic	51	20	2.55
GCA_000268785.1_ASM26878v1_genomic	65	22	2.95455
GCA_000269345.1_ASM26934v1_genomic	58	22	2.63636
GCA_000268765.1_ASM26876v1_genomic	54	23	2.34783
GCA_000269325.1_ASM26932v1_genomic	55	18	3.05556
GCA_000269305.1_ASM26930v1_genomic	55	24	2.29167
GCA_000268745.1_ASM26874v1_genomic	57	18	3.16667
GCA_000269285.1_ASM26928v1_genomic	51	25	2.04
GCA_000269285.2_ASM26928v2_genomic	51	25	2.04
GCA_000269265.1_ASM26926v1_genomic	61	21	2.90476
GCA_000268725.1_ASM26872v1_genomic	61	24	2.54167
GCA_000268725.2_ASM26872v2_genomic	61	24	2.54167
GCA_000268685.1_ASM26868v1_genomic	61	27	2.25926
GCA_000268665.1_ASM26866v1_genomic	58	24	2.41667
GCA_000268525.1_ASM26852v1_genomic	50	14	3.57143
GCA_000268485.1_ASM26848v1_genomic	43	15	2.86667
GCA_000268485.2_ASM26848v2_genomic	43	15	2.86667
GCA_000268385.1_ASM26838v1_genomic	55	22	2.5
GCA_000268365.1_ASM26836v1_genomic	57	26	2.19231
GCA_000268345.1_ASM26834v1_genomic	63	28	2.25
GCA_000268585.1_ASM26858v1_genomic	58	18	3.22222
GCA_000268565.1_ASM26856v1_genomic	71	29	2.44828
GCA_000268325.1_ASM26832v1_genomic	66	33	2
