sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_major_color	geometry_size	geometry	root_rtt_dist	clade_rtt_dist	branch_length	branch_length_sub	node_type	branch_support	branch_support_conf_category	branch_support_conf_char	country_date_strain	province_date_strain	rate	rate_hpd	rate_sub	rate_sub_year	height	height_hpd	timetree_num_date	timetree_num_date_confidence	continuous_geo	continuous_geo_coord	continuous_geo_lat	continuous_geo_lon	baseline_pst	depleted_pla	ratio_pla_pst	cluster_pla_pst
SAMEA5818811	NAB003	[1292:1392]	[-729:-629]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818811	KEEP: SRA Ancient	1.0	Europe	1342.0	679.0	50.0	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	3.41e-07	3.41e-07	14.611126580913606	2.5172419902475003	terminal	0.0	LOW	NA	Germany [1292:1392] NAB003	Bavaria [1292:1392] NAB003	4.015754620181296e-08	[9.776437837304587e-10, 9.493479268232339e-08]	4.015754620181296e-08	0.17228253935844706	473.6878520215217	[408.670846430569, 552.5562341577931]	1332	[1253, 1397]	NA	['NA', 'NA']	NA	NA	31.121972999999997	22.412139899999996	0.7201387874734034	1.0
SAMEA5818809	MAN008	[1283:1390]	[-738:-631]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818809	KEEP: SRA Ancient	1.0	Europe	1336.5	684.5	53.5	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	3.3289e-06	3.3289e-06	21.73456266315969	9.27856703760811	terminal	0.0	LOW	NA	Germany [1283:1390] MAN008	Bavaria [1283:1390] MAN008	9.950752108041016e-08	[1.8090058680426583e-08, 2.1674037734645377e-07]	9.950752108041016e-08	0.426903783683459	437.97105910230033	[367.8893354046792, 518.439978083497]	1368	[1287, 1438]	NA	['NA', 'NA']	NA	NA	60.2411537	55.746540100000004	0.9253896493685513	1.0
SAMEA5818808	LBG002	[1455:1632]	[-566:-389]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818808	KEEP: SRA Ancient	1.0	Europe	1543.5	477.5	88.5	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	1.21154e-05	1.21154e-05	27.363051766336522	9.005929932373288	terminal	0.0	LOW	NA	Germany [1455:1632] LBG002	Bavaria [1455:1632] LBG002	7.671670384354334e-08	[1.3559905143721366e-08, 1.7206649819157784e-07]	7.671670384354334e-08	0.32912739446163897	274.0407857958965	[204.42851973467663, 359.7554712830934]	1532	[1446, 1601]	NA	['NA', 'NA']	NA	NA	38.094970700000005	4.5175719	0.11858709475264144	0.0
SAMEA5818806	LAI009	[1300:1400]	[-721:-621]	Russia	Tatarstan	64.6863136	97.7453061	55.44821700000001	50.4763591	Second Pandemic	1.PRE	1.PRE0	SAMEA5818806	KEEP: SRA Ancient Placement	1.0	Europe	1350.0	671.0	50.0	55.44821700000001	50.4763591	Human	#8000ff	2.0	POINT (50.4763591 55.44821700000001)	2.33e-08	2.33e-08	15.215648704971215	2.294273580153261	terminal	0.0	LOW	NA	Russia [1300:1400] LAI009	Tatarstan [1300:1400] LAI009	3.514638276505324e-08	[1.736834927828833e-09, 8.697300733036914e-08]	3.514638276505324e-08	0.1507838163616174	495.10145102273634	[429.1107743284981, 576.1890664332961]	1311	[1229, 1377]	NA	['NA', 'NA']	NA	NA	80.781189	68.48136140000001	0.8477389630895382	1.0
SAMEA5818805	ELW098	[1485:1627]	[-536:-394]	Germany	Baden-Württemberg	51.0834196	10.4234469	48.5908946	9.0399498	Second Pandemic	1.PRE	1.PRE1	SAMEA5818805	KEEP: SRA Ancient	1.0	Europe	1556.0	465.0	71.0	48.5908946	9.0399498	Human	#8000ff	1.0	POINT (9.0399498 48.5908946)	7.941300000000001e-06	7.941300000000001e-06	18.99645116021918	3.6012269862498667	terminal	0.0	LOW	NA	Germany [1485:1627] ELW098	Baden-Württemberg [1485:1627] ELW098	4.418795710978898e-08	[2.9946091781228546e-09, 1.067131670211714e-07]	4.418795710978898e-08	0.18957367120187496	319.423041832474	[250.29931373152726, 410.4892254736854]	1486	[1395, 1555]	NA	['NA', 'NA']	NA	NA	76.7849197	13.4334402	0.17494893857393717	0.0
SAMEA5818803	BRA001	[1618:1648]	[-403:-373]	Germany	Brandenburg	51.0834196	10.4234469	52.84554920000001	13.2461296	Second Pandemic	1.PRE	1.PRE1	SAMEA5818803	KEEP: SRA Ancient	1.0	Europe	1633.0	388.0	15.0	52.84554920000001	13.2461296	Human	#8000ff	1.0	POINT (13.2461296 52.84554920000001)	1.43961e-05	1.43961e-05	69.29124446673359	11.625730483264304	terminal	0.0	LOW	NA	Germany [1618:1648] BRA001	Brandenburg [1618:1648] BRA001	3.910819685199788e-08	[8.386399212176343e-09, 7.587305126836027e-08]	3.910819685199788e-08	0.16778065645574836	174.50703285076537	[121.03143685654544, 252.0057664544085]	1631	[1554, 1685]	NA	['NA', 'NA']	NA	NA	86.83798979999999	18.9062824	0.21771902416838304	0.0
SAMEA5818801	BED034	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818801	KEEP: SRA Ancient	1.0	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.4014200000000005e-05	2.4014200000000005e-05	6.8538569528459155	1.1951068359502526	terminal	0.0	LOW	NA	England [1560:1635] BED034	Greater London [1560:1635] BED034	4.064410810338933e-08	[2.0578119070039386e-09, 9.963219513487763e-08]	4.064410810338933e-08	0.17436997068548538	203.04626817042552	[144.21160456915328, 283.65473610647115]	1603	[1522, 1661]	NA	['NA', 'NA']	NA	NA	64.1750488	10.413205099999999	0.16226251938588318	0.0
SAMEA5818800	BED030	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818800	KEEP: SRA Ancient	1.0	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.323960000000001e-05	2.323960000000001e-05	12.269053060906828	1.9758387317186727	terminal	0.0	LOW	NA	England [1560:1635] BED030	Greater London [1560:1635] BED030	3.7537587114903466e-08	[1.1659059385462306e-09, 8.889796102530206e-08]	3.7537587114903466e-08	0.16104247996239698	220.69686362742297	[160.96066561567613, 301.52048758970295]	1585	[1504, 1645]	NA	['NA', 'NA']	NA	NA	202.12849430000003	49.6240692	0.24550753901301878	0.0
SAMEA5818799	BED028	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818799	KEEP: SRA Ancient	1.0	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.4271000000000005e-05	2.4271000000000005e-05	12.744481354315953	2.583472383056043	terminal	0.0	LOW	NA	England [1560:1635] BED028	Greater London [1560:1635] BED028	4.7250625320624384e-08	[2.3825486143453738e-09, 1.1243764714098393e-07]	4.7250625320624384e-08	0.20271302622928186	197.15564376895546	[137.74078803325915, 278.09166032492635]	1609	[1528, 1668]	NA	['NA', 'NA']	NA	NA	121.19832609999999	20.7571888	0.17126629936186885	0.0
SAMEA5818798	BED024	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818798	KEEP: SRA Ancient	1.0	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.448040000000001e-05	2.448040000000001e-05	15.926737780660947	3.6212737506822714	terminal	0.0	LOW	NA	England [1560:1635] BED024	Greater London [1560:1635] BED024	5.299811583409168e-08	[4.674824664536689e-09, 1.2225207557887537e-07]	5.299811583409168e-08	0.2273707146154817	197.45344981579728	[135.60968698439837, 277.81858763409485]	1608	[1528, 1670]	NA	['NA', 'NA']	NA	NA	64.4813766	6.4589992	0.10016844460482563	0.0
SAMEA5054093	SLC1006	[1279:1389]	[-742:-632]	France	Occitanie	46.603354	1.8883335	43.64878510000001	2.3435684	Second Pandemic	1.PRE	1.PRE1	SAMEA5054093	KEEP: SRA Ancient	1.0	Europe	1334.0	687.0	55.0	43.64878510000001	2.3435684	Human	#8000ff	1.0	POINT (2.3435684 43.64878510000001)	2.3561e-06	2.3561e-06	36.632339308088824	13.097382445358162	terminal	0.0	LOW	NA	France [1279:1389] SLC1006	Occitanie [1279:1389] SLC1006	8.33385153229512e-08	[1.3994943409036191e-08, 1.9088009696668856e-07]	8.33385153229512e-08	0.35753606492900425	464.1446423931672	[398.8733057250891, 551.3651143384585]	1342	[1254, 1407]	NA	['NA', 'NA']	NA	NA	69.1703873	64.5718842	0.9335191939860658	1.0
SAMEA5054092	OSL1	[1270:1390]	[-751:-631]	Norway	Oslo	60.5000209	9.0999715	59.9133301	10.7389701	Second Pandemic	1.PRE	1.PRE1	SAMEA5054092	KEEP: SRA Ancient	1.0	Europe	1330.0	691.0	60.0	59.9133301	10.7389701	Human	#8000ff	1.0	POINT (10.7389701 59.9133301)	9.937e-07	9.937e-07	21.13790249566045	5.185519496961014	terminal	0.0	LOW	NA	Norway [1270:1390] OSL1	Oslo [1270:1390] OSL1	5.7181597538505686e-08	[6.057756179879732e-09, 1.3329932965824694e-07]	5.7181597538505686e-08	0.2453185455853808	473.32606559883993	[405.87221346395864, 554.0992188061464]	1332	[1252, 1400]	NA	['NA', 'NA']	NA	NA	229.6489716	221.42811580000003	0.9642025141992843	1.0
SAMEA5054090	Ber45	[1300:1400]	[-721:-621]	The Netherlands	North Brabant	52.5001698	5.7480821	51.6017723	5.444139099999999	Second Pandemic	1.PRE	1.PRE2	SAMEA5054090	KEEP: SRA Ancient Placement	1.0	Europe	1350.0	671.0	50.0	51.6017723	5.444139099999999	Human	#8000ff	2.0	POINT (5.444139099999999 51.6017723)	2.1815e-06	2.1815e-06	16.414599023598328	5.23046762881597	terminal	0.0	LOW	NA	The Netherlands [1300:1400] Ber45	North Brabant [1300:1400] Ber45	7.427388547053799e-08	[1.3902903182386226e-08, 1.6855965578393017e-07]	7.427388547053799e-08	0.318647298133596	426.4914259975	[362.4674487393593, 505.11108747008063]	1379	[1301, 1443]	NA	['NA', 'NA']	NA	NA	211.9534454	210.8232117	0.994667537968694	1.0
SAMEA5054089	Ber37	[1300:1400]	[-721:-621]	The Netherlands	North Brabant	52.5001698	5.7480821	51.6017723	5.444139099999999	Second Pandemic	1.PRE	1.PRE2	SAMEA5054089	KEEP: SRA Ancient	1.0	Europe	1350.0	671.0	50.0	51.6017723	5.444139099999999	Human	#8000ff	2.0	POINT (5.444139099999999 51.6017723)	2.6795000000000003e-06	2.6795000000000003e-06	18.268046830636308	6.317949645463088	terminal	0.0	LOW	NA	The Netherlands [1300:1400] Ber37	North Brabant [1300:1400] Ber37	8.061390277436302e-08	[1.3178473000956673e-08, 1.865238204519538e-07]	8.061390277436302e-08	0.34584702480987795	435.207872777244	[372.39449511877075, 516.6432428050081]	1370	[1289, 1433]	NA	['NA', 'NA']	NA	NA	153.9273682	141.5410004	0.9195310882993452	1.0
SAMEA3937654	BolgarCity2370	[1362:1400]	[-659:-621]	Russia	Tatarstan	64.6863136	97.7453061	55.44821700000001	50.4763591	Second Pandemic	1.PRE	1.PRE3	SAMEA3937654	KEEP: SRA Ancient Placement	1.0	Europe	1381.0	640.0	19.0	55.44821700000001	50.4763591	Human	#8000ff	2.0	POINT (50.4763591 55.44821700000001)	1.6921e-06	1.6921e-06	16.457218951051345	3.486698972984388	terminal	0.0	LOW	NA	Russia [1362:1400] BolgarCity2370	Tatarstan [1362:1400] BolgarCity2370	4.9383732324777977e-08	[5.333827606226833e-09, 1.1257485179699273e-07]	4.9383732324777977e-08	0.21186440937286344	426.4488060700468	[370.82027316642547, 504.1313564827725]	1379	[1302, 1435]	NA	['NA', 'NA']	NA	NA	1.2486033	0.8477103000000001	0.6789268457003118	NA
SAMEA3937653	Barcelona3031	[1300:1420]	[-721:-601]	Spain	Catalonia	39.3260685	-4.8379791	41.8523094	1.5745043	Second Pandemic	1.PRE	1.PRE1	SAMEA3937653	KEEP: SRA Ancient	1.0	Europe	1360.0	661.0	60.0	41.8523094	1.5745043	Human	#8000ff	1.0	POINT (1.5745043 41.8523094)	6.614e-07	6.614e-07	14.59092285229201	2.722061105167504	terminal	0.0	LOW	NA	Spain [1300:1420] Barcelona3031	Catalonia [1300:1420] Barcelona3031	4.348515397185131e-08	[2.880909735846668e-09, 1.0485601798192889e-07]	4.348515397185131e-08	0.18655852907480147	470.4629011162888	[402.6224958118771, 551.953298841405]	1335	[1254, 1403]	NA	['NA', 'NA']	NA	NA	1.4972067	0.9297125	0.6209646937861019	NA
SAMEA3713715	OBS137	1721.0	-300	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713715	KEEP: SRA Ancient Placement	1.0	Europe	1721.0	300.0	0.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8354100000000014e-05	2.8354100000000014e-05	17.861955224600422	2.324948811921129	terminal	0.0	LOW	NA	France 1721.0 OBS137	Provence-Alpes-Côte d'Azur 1721.0 OBS137	3.033963155730285e-08	[2.9387662157699446e-09, 6.546668818008981e-08]	3.033963155730285e-08	0.13016205575966774	84.67980188139886	[40.14551467925429, 157.8907085439705]	1721	[1648, 1766]	NA	['NA', 'NA']	NA	NA	2.7560523	0.08732689999999999	0.03168550175916473	NA
SAMEA3713714	OBS124	1721.0	-300	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713714	KEEP: SRA Ancient	1.0	Europe	1721.0	300.0	0.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8633800000000014e-05	2.8633800000000014e-05	4.522416935462402	0.8102207771701465	terminal	0.0	LOW	NA	France 1721.0 OBS124	Provence-Alpes-Côte d'Azur 1721.0 OBS124	4.1759826001622044e-08	[2.5067727962116887e-09, 9.937418943775713e-08]	4.1759826001622044e-08	0.17915658567807485	84.67980188139886	[40.14551467925429, 157.89070854397056]	1721	[1648, 1766]	NA	['NA', 'NA']	NA	NA	1.0884544	0.0788072	0.07240284939819251	NA
SAMEA3713713	OBS116	1721.0	-300	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713713	KEEP: SRA Ancient	1.0	Europe	1721.0	300.0	0.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.9076700000000002e-05	2.9076700000000002e-05	8.264891865732793	2.38184244910983	terminal	0.0	LOW	NA	France 1721.0 OBS116	Provence-Alpes-Côte d'Azur 1721.0 OBS116	6.717408483643228e-08	[7.279195165581565e-09, 1.5477862043722352e-07]	6.717408483643228e-08	0.2881879748463773	84.67980188139886	[40.14551467925429, 157.8907085439705]	1721	[1648, 1766]	NA	['NA', 'NA']	NA	NA	2.2122905	0.1118211	0.05054539627594116	NA
SAMEA3713712	OBS110	1721.0	-300	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713712	KEEP: SRA Ancient	1.0	Europe	1721.0	300.0	0.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8843600000000013e-05	2.8843600000000013e-05	7.255648096074964	1.6081685004275739	terminal	0.0	LOW	NA	France 1721.0 OBS110	Provence-Alpes-Côte d'Azur 1721.0 OBS110	5.166319295909782e-08	[4.6322535505570965e-09, 1.2014517384695792e-07]	5.166319295909782e-08	0.22164367388456085	84.67980188139886	[40.14551467925429, 157.89070854397056]	1721	[1648, 1766]	NA	['NA', 'NA']	NA	NA	1.1787709	0.0372737	0.031620817921446824	NA
SAMEA3713711	OBS107	1721.0	-300	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713711	KEEP: SRA Ancient	1.0	Europe	1721.0	300.0	0.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8843600000000013e-05	2.8843600000000013e-05	4.522416935462402	0.996939046130248	terminal	0.0	LOW	NA	France 1721.0 OBS107	Provence-Alpes-Côte d'Azur 1721.0 OBS107	5.1383526902420405e-08	[2.6761033556784284e-09, 1.2161555742934613e-07]	5.1383526902420405e-08	0.22044386007684935	84.67980188139886	[40.14551467925429, 157.89070854397056]	1721	[1648, 1766]	NA	['NA', 'NA']	NA	NA	2.367784	0.0617678	0.02608675453504205	NA
SAMN00715800	8291	1349.0	-672	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMN00715800	KEEP: SRA Ancient	1.0	Europe	1349.0	672.0	0.0	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	4.808999999999999e-07	4.808999999999999e-07	28.37402208718339	4.300918590529058	terminal	0.0	LOW	NA	England 1349.0 8291	Greater London 1349.0 8291	3.533183738620848e-08	[2.5985261184104176e-09, 8.352876795495397e-08]	3.533183738620848e-08	0.15157944747184052	456.67980188139734	[412.1455146792543, 529.8907085439705]	1349	[1276, 1394]	NA	['NA', 'NA']	NA	NA	0.0782123	0.23003200000000001	2.941123071435056	NA
SAMEA7293136	COL001	[1300:1400]	[-721:-621]	Italy	Lazio	42.6384261	12.674297	41.9808038	12.766231199999998	Second Pandemic	1.PRE	1.PRE1	SAMEA7293136	KEEP: SRA Ancient	1.0	Europe	1350.0	671.0	50.0	41.9808038	12.766231199999998	Human	#8000ff	1.0	POINT (12.7662312 41.9808038)	2.1887e-06	2.1887e-06	17.78868869360929	5.429832477177111	terminal	0.0	LOW	NA	Italy [1300:1400] COL001	Lazio [1300:1400] COL001	7.114893425819679e-08	[7.977813503912351e-09, 1.5949638274046966e-07]	7.114893425819679e-08	0.3052407386907511	451.2053949425792	[382.8146881480445, 534.8174399796408]	1354	[1271, 1423]	NA	['NA', 'NA']	NA	NA	116.6880798	115.87753300000001	0.9930537309261646	1.0
