Laboratory ID	Individual ID	Element Used	Country	Province	Municipality	Cemetery	Cemetery/phase date range	Site code	Time Point	Arm Position	Dating technique	Individual date range	Julia Adjustments - Jesper to review	Jesper Finalized	Included in analyses	cMYC copies per uL (avg)	pla Positive PCR Replicates	Plague Status
LP373	A179 x179	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	B	Arm Position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LD24	A19 x21	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350	1100 - 1250 AD	1100 - 1300	Plague PCR detection		6	Positive
LP191	A196 x196	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP192	A209 x209	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250-1350 AD	Plague PCR detection		2	
LP193	A209 x3015	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LD25	A21 x23	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A?	Arm position	1100-1350	1100 - 1250 AD	1100 - 1300	Plague PCR detection		4	
LD01	A2169 x2005.1	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1535-1856 AD	1600 - 1800	Plague PCR detection			
LD26	A22 x24	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350	1100 - 1250 AD	1100 - 1300	Plague PCR detection			
LD02	A2396 x2059	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1535-1856 AD	1600 - 1800	Plague PCR detection		1	
LD03	A2397 x2060	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1535-1856 AD	1600 - 1800	Plague PCR detection			
LD27	A24 x28	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350	1100 - 1250 AD	1100 - 1300	Plague PCR detection			
LD04	A2426 x2132	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LP374	A243 x243	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	AA	Arm position	?	1150 - 1250 AD	1150 - 1250 AD	Plague PCR detection		1	
LD90	A2430 x2152	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD05	A2434 x2163	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD06	A2435 x2175	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD07	A2436 x2176	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD89	A2437 x2140	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LR01	A2443 x2203	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LR02	A2447 x2216	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LR03	A2447 x2217	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD08	A2476 x2291	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, Plague PCR Detection"	3.9		
LR04	A2478 x2306	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD91	A2485 x2315	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR Detection"	29.5		
LR05	A2489 x2522	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD09	A2490 x2338	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LR06	A2491 x2339	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD10	A2493 x2360	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD92	A2494 x2371	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD93	A2497 x2392	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD11	A2500 x2397	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR detection"	55.2		
LD94	A2516 x2460	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD95	A2521 x2475	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD12	A2524 x2499	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR Detection"	606.7		
LD13	A2533 x2563	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, neutral, Plague PCR detection"	2.9		
LR07	A2535 x2560	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD14	A2539 x2571	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LR08	A2542 x2583	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD96	A2545 x2533 	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD15	A2548 x2594	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LD16	A2549 x2598	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medeival	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LD97	A2550 x2599	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD17	A2552 x2605	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medeival	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LD98	A2553 x2607	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, Plague PCR Detection"	7.2		
LR09	A2577 x2628	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD99	A2662 x2768	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD100	A2669 x2770	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR Detection"	30.2		
LR10	A2708 x2844	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD101	A2709 x2848	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD18	A2713 x2896	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LD19	A2721 x2838	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR Detection			
LR11	A2728 x2905	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD20	A2731 x2914	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR Detection"	6	1	
LR12	A2751 x2968	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD102	A2756 x3008	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LD21	A2760 x3018	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, exon, neutral, Plague PCR Detection"	378.1		
LD103	A2778 x3070	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	"GWAS, Plague PCR Detection"	4.9		
LR14	A31 x41	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1300	Plague PCR detection			
LD28	A38 x54	Tooth	Denmark	Region of Southern Denmark	Faaborg-Midtfyn Municipality	Hågerup	1100-1555 AD	ØHM 1247	Pre-BD	A	Arm position	1100-1350	1100 - 1250 AD	1100 - 1300	Plague PCR detection			
LP375	A388 x388	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	C	Arm Position	?	1350 - 1450 AD	1400 -1570	Plague PCR detection			
LP194	A409 x409	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP376	A419 x419	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	B	Arm Position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP377	A423 x423	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	A	Arm Position	?	1150 - 1250 AD	1150 - 1250 AD	Plague PCR detection			
LP195	A444 x444	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LD22	A465 x2014	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Klosterkirken	1535-1856 AD	HOM 1272	Post-BD	Post-Medieval	Burial Type / Goods	1535-1856 AD	1750 - 1800 AD	1600 - 1800	Plague PCR detection			
LP378	A472 x472	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	AA	Arm position	?	1150 - 1250 AD	1150 - 1250 AD	Plague PCR detection		1	
LP379	A477 x477	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	A	Arm Position	?	1150 - 1250 AD	1150 - 1250 AD	Plague PCR detection			
LP196	A518 x518	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP198	A547 x3001	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP197	A547 x3002	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP380	A584 x584	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	Pre-BD	A	Arm position	1150-1350 AD	1150-1250 AD	1150-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	10.3		
LP381	A589 x589	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	?	?	Stratigraphic	?	1200 - 1450 AD	1200 - 1450 AD	Plague PCR detection			
LP185	A94 x3009	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Sejet	1150-1574 AD	HOM 1046	BD	B	Arm position	?	1250-1350 AD	1250 - 1400	Plague PCR detection			
LP130	AF	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP166	AU	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP160	AV	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	81.8		
LP131	BA	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP165	BC	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	48.6		
LP167	BD/BC-A	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP164	BF	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	65.6		
LP134	BS	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP127	BT	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP132	BZ	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP145	CE	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP129	CH	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP139	CP	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection		1	
LP138	CQ	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	197	1	
LP161	CS	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, neutral, Plague PCR detection"	14.9	1	
LP136	CV	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP133	CX	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
