arch_id	project_id	julia_id	site_code	arm_position	time_period	start_date	end_date	end_date_orig	HP ID	Plague PCR Status
A2553 X2607	D98a	199	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4273	Negative
A2662 X2768	D99a	205	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4275	Negative
G115	P118	39	ASR 1015	CC	3	1350	1550	1550	HP2501	Weak Positive
G36	P119	38	ASR 1015	CC	3	1350	1550	1550	HP2502	Weak Positive
G39	P120	37	ASR 1015	CC	3	1350	1550	1550	HP2503	Negative
G30	P121	36	ASR 1015	CC	3	1350	1550	1550	HP2504	Negative
G222	P122	41	ASR 1015	CC	3	1350	1550	1550	HP2505	Negative
G.221 	P123	29	ASR 1015	CC	3	1350	1550	1550	HP2506	Negative
G204	P124	42	ASR 1015	DC	3	1350	1550	1550	HP2507	Negative
G199	P125	12	ASR 1015	CC	3	1350	1550	1550	HP2508	Weak Positive
G199	P125	44	ASR 1015	CC	3	1350	1550	1550	HP2508	Weak Positive
G201	P126	43	ASR 1015	CC	3	1350	1550	1550	HP2509	Negative
BT	P127	103	FHM 3970	Pre	1	1150	1349	1325	HP2510	Negative
DC	P128	114	FHM 3970	Pre	1	1150	1349	1325	HP2511	Negative
CH	P129	101	FHM 3970	Pre	1	1150	1349	1325	HP2512	Negative
AF	P130	106	FHM 3970	Pre	1	1150	1349	1325	HP2513	Negative
BA	P131	107	FHM 3970	Pre	1	1150	1349	1325	HP2514	Negative
BZ	P132	104	FHM 3970	Pre	1	1150	1349	1325	HP2515	Negative
CX	P133	116	FHM 3970	Pre	1	1150	1349	1325	HP2516	Negative
BS	P134	105	FHM 3970	Pre	1	1150	1349	1325	HP2517	Negative
DA	P135	115	FHM 3970	Pre	1	1150	1349	1325	HP2518	Negative
CV	P136	117	FHM 3970	Pre	1	1150	1349	1325	HP2519	Negative
DR	P137	111	FHM 3970	Pre	1	1150	1349	1325	HP2520	Negative
CQ	P138	100	FHM 3970	Pre	1	1150	1349	1325	HP2521	Weak Positive
CP	P139	99	FHM 3970	Pre	1	1150	1349	1325	HP2522	Weak Positive
DD	P140	113	FHM 3970	Pre	1	1150	1349	1325	HP2523	Negative
EM	P141	109	FHM 3970	Pre	1	1150	1349	1325	HP2524	Negative
DV	P142	110	FHM 3970	Pre	1	1150	1349	1325	HP2525	Negative
EQ	P143	108	FHM 3970	Pre	1	1150	1349	1325	HP2526	Negative
DM	P144	112	FHM 3970	Pre	1	1150	1349	1325	HP2527	Negative
CE	P145	102	FHM 3970	Pre	1	1150	1349	1325	HP2528	Negative
G262	P146	5	ASR 1015	Pre	1	1150	1349	1325	HP2529	Negative
G341	P147	4	ASR 1015	Pre	1	1150	1349	1325	HP2530	Negative
G432	P148	3	ASR 1015	Pre	1	1150	1349	1325	HP2531	Negative
FF	P149	129	FHM 3970	Pre	1	1150	1349	1325	HP2532	Negative
V	P150	119	FHM 3970	Pre	1	1150	1349	1325	HP2533	Negative
EB	P151	124	FHM 3970	Pre	1	1150	1349	1325	HP2534	Negative
GL	P152	126	FHM 3970	Pre	1	1150	1349	1325	HP2535	Weak Positive
ROV07 I1254	P153	NA	FHM 3970	NA	NA	1150	1349	1325	HP2536	Weak Positive
G183	P154	2	ASR 1015	Pre	1	1150	1349	1325	HP2537	Negative
Q	P155	122	FHM 3970	Pre	1	1150	1349	1325	HP2538	Weak Positive
G326	P156	1	ASR 1015	Pre	1	1150	1349	1325	HP2539	Weak Positive
EZ	P157	130	FHM 3970	Pre	1	1150	1349	1325	HP2540	Negative
EW	P158	131	FHM 3970	Pre	1	1150	1349	1325	HP2541	Negative
FO	P159	127	FHM 3970	Pre	1	1150	1349	1325	HP2542	Weak Positive
AV	P160	123	FHM 3970	Pre	1	1150	1349	1325	HP2543	Negative
CS	P161	118	FHM 3970	Pre	1	1150	1349	1325	HP2544	Weak Positive
X	P162	120	FHM 3970	Pre	1	1150	1349	1325	HP2545	Negative
FN	P163	128	FHM 3970	Pre	1	1150	1349	1325	HP2546	Weak Positive
BF	P164	125	FHM 3970	Pre	1	1150	1349	1325	HP2547	Negative
BC	P165	133	FHM 3970	Pre	1	1150	1349	1325	HP2548	Negative
AU	P166	132	FHM 3970	Pre	1	1150	1349	1325	HP2549	Negative
BD/BC-A	P167	134	FHM 3970	Pre	1	1150	1349	1325	HP2550	Negative
G167	P168	45	ASR 1015	Late-Post	 2-3	1250	1550	1550	HP2551	Negative
G203	P169	6	ASR 1015	Pre	1	1150	1349	1325	HP2552	Negative
G228B	P170	7	ASR 1015	Pre	1	1150	1349	1325	HP2553	Weak Positive
G23	P171	235	Refshale	B	2	1250	1449	1425	HP2554	Negative
G78	P172	234	Refshale	B	2	1250	1449	1425	HP2555	Weak Positive
G20	P173	236	Refshale	B	2	1250	1449	1425	HP2556	Negative
X1305	P174	92	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2557	Negative
X1321	P175	91	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2558	Negative
X1330	P176	90	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2559	Negative
X1345	P177	97	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2560	Negative
X1466	P178	95	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2561	Negative
X1493	P179	96	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2562	Negative
X1516	P180	98	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2563	Negative
X1521	P181	94	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2564	Negative
X1524	P182	93	ASR 13II	Middle - Late	 2-3	1250	1550	1550	HP2565	Negative
A94X3009	P185	135	HOM 1046	B	2	1250	1449	1425	HP2568	Negative
A106X3012	P186	151	HOM 1046	B	2	1250	1449	1425	HP2569	Negative
A146X3011	P187	149	HOM 1046	B	2	1250	1449	1425	HP2570	Strong Positive
A151X151	P188	142	HOM 1046	B	2	1250	1449	1425	HP2571	Negative
A151X3013	P189	150	HOM 1046	B	2	1250	1449	1425	HP2572	Negative
A167X3006	P190	141	HOM 1046	B	2	1250	1449	1425	HP2573	Negative
A196X196	P191	140	HOM 1046	B	2	1250	1449	1425	HP2574	Negative
A209X209	P192	138	HOM 1046	B	2	1250	1449	1425	HP2575	Weak Positive
A209X3015	P193	139	HOM 1046	B	2	1250	1449	1425	HP2576	Negative
A409X409	P194	153	HOM 1046	B	2	1250	1449	1425	HP2577	Negative
A444X444	P195	154	HOM 1046	B	2	1250	1449	1425	HP2578	Negative
A518X518	P196	152	HOM 1046	B	2	1250	1449	1425	HP2579	Negative
A547X3002	P197	136	HOM 1046	B	2	1250	1449	1425	HP2580	Negative
A547X3001	P198	137	HOM 1046	B	2	1250	1449	1425	HP2581	Negative
A1038X1038	P199	156	HOM 1649	B	2	1250	1449	1425	HP2582	Negative
A1087X1087	P200	158	HOM 1649	B	2	1250	1449	1425	HP2583	Negative
A1189X1189	P201	159	HOM 1649	B	2	1250	1449	1425	HP2584	Negative
A1224X1224	P202	160	HOM 1649	B	2	1250	1449	1425	HP2585	Negative
A1378X1378	P203	157	HOM 1649	B	2	1250	1449	1425	HP2586	Negative
A1399X1399	P204	161	HOM 1649	B	2	1250	1449	1425	HP2587	Negative
A1428X1428	P205	163	HOM 1649	B	2	1250	1449	1425	HP2588	Weak Positive
G 79	P206	241	VKH 1201	B	2	1250	1449	1425	HP2589	Negative
G 125	P207	242	VKH 1201	B	2	1250	1449	1425	HP2590	Negative
G 197	P208	243	VKH 1201	B	2	1250	1449	1425	HP2591	Negative
G 205	P209	244	VKH 1201	B	2	1250	1449	1425	HP2592	Weak Positive
G 207	P210	245	VKH 1201	B	2	1250	1449	1425	HP2593	Negative
G 251	P211	246	VKH 1201	B	2	1250	1449	1425	HP2594	Negative
G 371	P212	247	VKH 1201	B	2	1250	1449	1425	HP2595	Strong Positive
G 448	P213	249	VKH 1201	B	2	1250	1449	1425	HP2596	Negative
G 471	P214	251	VKH 1201	B	2	1250	1449	1425	HP2597	Negative
G 522	P215	248	VKH 1201	B	2	1250	1449	1425	HP2598	Negative
G 587	P216	250	VKH 1201	B	2	1250	1449	1425	HP2599	Negative
G18	P217	228	Refshale	B	2	1250	1449	1425	HP2600	Negative
G21	P218	227	Refshale	B	2	1250	1449	1425	HP2601	Negative
G34	P219	226	Refshale	B	2	1250	1449	1425	HP2602	Negative
G43	P220	225	Refshale	B	2	1250	1449	1425	HP2603	Negative
G44	P221	224	Refshale	B	2	1250	1449	1425	HP2604	Negative
G72	P222	223	Refshale	B	2	1250	1449	1425	HP2605	Negative
G124	P223	229	Refshale	B	2	1250	1449	1425	HP2606	Weak Positive
G127	P224	230	Refshale	B	2	1250	1449	1425	HP2607	Negative
G129	P225	222	Refshale	B	2	1250	1449	1425	HP2608	Weak Positive
G137	P226	231	Refshale	B	2	1250	1449	1425	HP2609	Negative
G148	P227	232	Refshale	B	2	1250	1449	1425	HP2610	Negative
G166	P228	221	Refshale	B	2	1250	1449	1425	HP2611	Negative
G172	P229	220	Refshale	B	2	1250	1449	1425	HP2612	Negative
G187	P230	233	Refshale	B	2	1250	1449	1425	HP2613	Weak Positive
G192	P231	218	Refshale	B	2	1250	1449	1425	HP2614	Negative
G192x	P232	219	Refshale	B?	2	1250	1449	1425	HP2615	Negative
K1159X1159	P233	60	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2616	Negative
X1166	P234	72	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2617	Negative
K1167X1167	P235	65	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2618	Medium Positive
X1169	P236	66	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2619	Negative
K1174X1174	P237	62	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2620	Negative
X1177	P238	64	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2621	Negative
X1188	P239	69	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2622	Negative
X1207	P240	61	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2623	Negative
x1239	P241	NA	ASR 13II	NA	NA	1250	1550	1550	HP2624	Negative
K1240X1240	P242	55	ASR 13II	Late-Post	 3-4	1350	1550	1550	HP2625	Negative
X1251	P243	70	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2626	Negative
X1257	P244	59	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2627	Negative
X1261	P245	68	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2628	Weak Positive
X1265	P246	71	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2629	Strong Positive
X1266	P247	57	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2630	Negative
X1289	P248	67	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2631	Negative
K1294X1294	P249	58	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2632	Negative
X1298	P250	63	ASR 13II	Late-Post	 3-4	1350	1550	1550	HP2633	Negative
X1325	P251	73	ASR 13II	Late - Post	 3-4	1350	1550	1550	HP2634	Negative
A121X121	P371	143	HOM 1046	NA	NA	1250	1449	1425	HP2135	Weak Positive
A175X175	P372	144	HOM 1046	NA	NA	1250	1449	1425	HP2136	Negative
A179X179	P373	145	HOM 1046	NA	NA	1250	1449	1425	HP2137	Negative
x243 A243	P373	NA	HOM 1046	NA	NA	1250	1449	1425	HP2138	Negative
x388 A388	P374	NA	HOM 1046	NA	NA	1250	1449	1425	HP2139	Weak Positive
A419X419	P376	146	HOM 1046	NA	NA	1250	1449	1425	HP2140	Negative
x423 A423	P377	NA	HOM 1046	NA	NA	1250	1449	1425	HP2141	Negative
x472 A472	P378	NA	HOM 1046	NA	NA	1250	1449	1425	HP2142	Weak Positive
x477 A477	P379	NA	HOM 1046	NA	NA	1250	1449	1425	HP2143	Negative
A584X584	P380	147	HOM 1046	NA	NA	1250	1449	1425	HP2144	Negative
A589X589	P381	148	HOM 1046	NA	NA	1250	1449	1425	HP2145	Negative
A1001X1001	P382	155	HOM 1649	NA	NA	1250	1449	1425	HP2146	Negative
x1030 A1030	P383	NA	HOM 1649	NA	NA	1250	1449	1425	HP2147	Negative
x1155 A1155	P384	NA	HOM 1649	NA	NA	1250	1449	1425	HP2148	Medium Positive
A1424X1424	P385	162	HOM 1649	NA	NA	1250	1449	1425	HP2149	Negative
A1460X1460	P386	164	HOM 1649	NA	NA	1250	1449	1425	HP2150	Negative
x1480 A1480	P387	NA	HOM 1649	NA	NA	1250	1449	1425	HP2151	Strong Positive
x1485 A1485	P388	NA	HOM 1649	NA	NA	1250	1449	1425	HP2152	Weak Positive
A1518X1518	P389	165	HOM 1649	NA	NA	1250	1449	1425	HP2153	Negative
A1553X1553	P390	166	HOM 1649	NA	NA	1250	1449	1425	HP2154	Negative
A1653X1653	P391	167	HOM 1649	NA	NA	1250	1449	1425	HP2155	Negative
A2443 X2203	R01	181	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4248	Negative
A2447 X2216	R02	180	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4249	Negative
A2447 X2217	R03	182	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4250	Negative
A2478 X2306	R04	178	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4252	Negative
A2489 X2522	R05	190	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4254	Negative
A2491 X2339	R06	186	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4256	Negative
A2535 X2560	R07	195	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4265	Negative
A2542 X2583	R08	194	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4267	Negative
A2577 X2628	R09	198	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4274	Negative
A2708 X2844	R10	209	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4277	Negative
A2728 X2905	R11	214	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4281	Negative
A2751 X2968	R12	212	HOM 1272	Post-Medieval	4	1600	1800	1800	HP4283	Negative
A16 X18	R13	308	ØHM 1247	A	1	1150	1349	1325	HP4289	Negative
A31X41	R14	311	ØHM 1247	A	1	1150	1349	1325	HP4294	Negative
Gr IS 454	R18	265	VSM 29F	Post	3	1350	1550	1550	HP4323	Negative
Gr GM 301-2	R19	261	VSM 29F	Pre (BB)	2	1250	1449	1425	HP4326	Negative
Gr HF 287	R20	258	VSM 29F	Pre (AA)	1	1150	1349	1325	HP4329	Weak Positive
Gr ID 319	R21	262	VSM 29F	Post	3	1350	1550	1550	HP4330	Strong Positive
G.3	R22	302	VSM 906F	pre 1300	1	1150	1349	1325	HP4332	Negative
G.10	R23	304	VSM 906F	pre 1300	1	1150	1349	1325	HP4333	Negative
G101	R25	238	Sct. Mikkel JAH 1-77	D	3	1350	1550	1550	HP4335	Negative
G49	R26	239	Sct. Mikkel JAH 1-77	C	3	1350	1550	1550	HP4337	Negative
G260 K539 x876	R27	252	VSM 09264	Pre 1300	1	1150	1349	1325	HP4339	Medium Positive
G.263 x874	R28	255	VSM 09264	pre 1300	1	1150	1349	1325	HP4340	Negative
G.266 x880	R29	254	VSM 09264	pre 1300	1	1150	1349	1325	HP4341	Negative
G.12	R30	300	VSM 902F 	pre 1300	1	1150	1349	1325	HP4344	Negative
G. 31	R31	294	VSM 902F 	pre 1300	1	1150	1349	1325	HP4346	Negative
G31	R31	240	Sct. Mikkel JAH 1-77	C	3	1350	1550	1550	HP4346	Negative
G.39	R32	299	VSM 902F 	pre 1300	1	1150	1349	1325	HP4347	Negative
G.86	R33	301	VSM 902F 	pre 1300	1	1150	1349	1325	HP4351	Negative
G111	R34	48	ASR 1015	DC	3	1350	1550	1550	HP4354	Negative
G125 X319	R35	8	ASR 1015	CD	3	1350	1550	1550	HP4355	Negative
G25B x98	R36	18	ASR 1015	CB	3	1350	1550	1550	HP4359	Strong Positive
G304 x781	R37	27	ASR 1015	DB	3	1350	1550	1550	HP4361	Negative
G.309	R38	28	ASR 1015	DD	3	1350	1550	1550	HP4362	Weak Positive
G860	R39	16	ASR 1015	BC	3	1350	1550	1550	HP4370	Medium Positive
G889	R40	47	ASR 1015	CC	3	1350	1550	1550	HP4371	Negative
G907	R41	14	ASR 1015	BC	3	1350	1550	1550	HP4373	Negative
G916	R42	15	ASR 1015	BC	3	1350	1550	1550	HP4374	Negative
G.364 	R43	31	ASR 1015	DD	3	1350	1550	1550	HP4380	Medium Positive
G70 X212	R44	11	ASR 1015	CC	3	1350	1550	1550	HP4382	Weak Positive
G.609	R45	286	VSM 855F	Pre 1300	1	1150	1349	1325	HP4391	Negative
G.636	R46	305	VSM 855F	Pre (AA)	1	1150	1349	1325	HP4393	Negative
