sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_major_color	geometry_size	geometry	root_rtt_dist	clade_rtt_dist
SAMEA5054093	SLC1006	[1279:1389]	[-742:-632]	France	Occitanie	46.603354	1.8883335	43.64878510000001	2.3435684	Second Pandemic	1.PRE	1.PRE1	SAMEA5054093	KEEP: SRA Ancient	1	Europe	1334.0	687.0	55.0	43.64878510000001	2.3435684	Human	#8000ff	1.0	POINT (2.3435684 43.64878510000001)	2.3561e-06	2.3561e-06
SAMEA5054092	OSL1	[1270:1390]	[-751:-631]	Norway	Oslo	60.5000209	9.0999715	59.9133301	10.7389701	Second Pandemic	1.PRE	1.PRE1	SAMEA5054092	KEEP: SRA Ancient	1	Europe	1330.0	691.0	60.0	59.9133301	10.7389701	Human	#8000ff	1.0	POINT (10.7389701 59.9133301)	9.937e-07	9.937e-07
SAMEA5054090	Ber45	[1300:1400]	[-721:-621]	The Netherlands	North Brabant	52.5001698	5.7480821	51.6017723	5.444139099999999	Second Pandemic	1.PRE	1.PRE2	SAMEA5054090	KEEP: SRA Ancient Placement	1	Europe	1350.0	671.0	50.0	51.6017723	5.444139099999999	Human	#8000ff	2.0	POINT (5.444139099999999 51.6017723)	2.1815e-06	2.1815e-06
SAMEA5054089	Ber37	[1300:1400]	[-721:-621]	The Netherlands	North Brabant	52.5001698	5.7480821	51.6017723	5.444139099999999	Second Pandemic	1.PRE	1.PRE2	SAMEA5054089	KEEP: SRA Ancient	1	Europe	1350.0	671.0	50.0	51.6017723	5.444139099999999	Human	#8000ff	2.0	POINT (5.444139099999999 51.6017723)	2.6795000000000003e-06	2.6795000000000003e-06
SAMEA3937654	BolgarCity2370	[1362:1400]	[-659:-621]	Russia	Tatarstan	64.6863136	97.7453061	55.44821700000001	50.4763591	Second Pandemic	1.PRE	1.PRE3	SAMEA3937654	KEEP: SRA Ancient Placement	1	Europe	1381.0	640.0	19.0	55.44821700000001	50.4763591	Human	#8000ff	2.0	POINT (50.4763591 55.44821700000001)	1.6921e-06	1.6921e-06
SAMEA3937653	Barcelona3031	[1300:1420]	[-721:-601]	Spain	Catalonia	39.3260685	-4.8379791	41.8523094	1.5745043	Second Pandemic	1.PRE	1.PRE1	SAMEA3937653	KEEP: SRA Ancient	1	Europe	1360.0	661.0	60.0	41.8523094	1.5745043	Human	#8000ff	1.0	POINT (1.5745043 41.8523094)	6.614e-07	6.614e-07
SAMEA3713715	OBS137	[1720:1722]	[-301:-299]	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713715	KEEP: SRA Ancient Placement	1	Europe	1721.0	300.0	1.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8354100000000004e-05	2.8354100000000004e-05
SAMEA3713714	OBS124	[1720:1722]	[-301:-299]	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713714	KEEP: SRA Ancient	1	Europe	1721.0	300.0	1.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8633800000000004e-05	2.8633800000000004e-05
SAMEA3713713	OBS116	[1720:1722]	[-301:-299]	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713713	KEEP: SRA Ancient	1	Europe	1721.0	300.0	1.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.9076700000000002e-05	2.9076700000000002e-05
SAMEA3713712	OBS110	[1720:1722]	[-301:-299]	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713712	KEEP: SRA Ancient	1	Europe	1721.0	300.0	1.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8843600000000003e-05	2.8843600000000003e-05
SAMEA3713711	OBS107	[1720:1722]	[-301:-299]	France	Provence-Alpes-Côte d'Azur	46.603354	1.8883335	44.0580563	6.0638505999999985	Second Pandemic	1.PRE	1.PRE1	SAMEA3713711	KEEP: SRA Ancient	1	Europe	1721.0	300.0	1.0	44.0580563	6.0638505999999985	Human	#8000ff	5.0	POINT (6.063850599999999 44.0580563)	2.8843600000000003e-05	2.8843600000000003e-05
SAMN00715800	8291	[1348:1350]	[-673:-671]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMN00715800	KEEP: SRA Ancient	1	Europe	1349.0	672.0	1.0	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	4.808999999999999e-07	4.808999999999999e-07
SAMEA7293136	COL001	[1300:1400]	[-721:-621]	Italy	Lazio	42.6384261	12.674297	41.9808038	12.766231199999998	Second Pandemic	1.PRE	1.PRE1	SAMEA7293136	KEEP: SRA Ancient	1	Europe	1350.0	671.0	50.0	41.9808038	12.766231199999998	Human	#8000ff	1.0	POINT (12.7662312 41.9808038)	2.1887e-06	2.1887e-06
SAMEA7293135	CHE1	[1500:1800]	[-521:-221]	Russia	Chechnya	64.6863136	97.7453061	43.39761470000001	45.6985005	Second Pandemic	1.PRE	1.PRE1	SAMEA7293135	KEEP: SRA Ancient	1	Europe	1650.0	371.0	150.0	43.39761470000001	45.6985005	Human	#8000ff	1.0	POINT (45.6985005 43.39761470000001)	3.99349e-05	3.99349e-05
SAMEA7313236_38	Rostov2033	[1762:1773]	[-259:-248]	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Second Pandemic	1.PRE	1.PRE1	SAMEA7313236_38	KEEP: SRA Ancient Combined Record	1	Europe	1767.5	253.5	5.5	47.6222451	40.7957942	Human	#8000ff	2.0	POINT (40.7957942 47.6222451)	3.3594200000000004e-05	3.3594200000000004e-05
SAMEA7313243_45	Azov38	[1400:1700]	[-621:-321]	Russia	Rostov Oblast	64.6863136	97.7453061	47.6222451	40.7957942	Second Pandemic	1.PRE	1.PRE1	SAMEA7313243_45	KEEP: SRA Ancient Combined Record	1	Europe	1550.0	471.0	150.0	47.6222451	40.7957942	Human	#8000ff	2.0	POINT (40.7957942 47.6222451)	2.5719400000000003e-05	2.5719400000000003e-05
SAMEA7313246_49	Gdansk8	[1400:1700]	[-621:-321]	Poland	Pomeranian Voivodeship	52.215933	19.134422	54.24556	18.1099	Second Pandemic	1.PRE	1.PRE1	SAMEA7313246_49	KEEP: SRA Ancient Combined Record	1	Europe	1550.0	471.0	150.0	54.24556	18.1099	Human	#8000ff	1.0	POINT (18.1099 54.24556)	7.9413e-06	7.9413e-06
SAMEA6651390	AGU010	[1435:1477]	[-586:-544]	Lithuania	Vilnius County	55.35000030000001	23.7499997	54.82269205	25.24953400167952	Second Pandemic	1.PRE	1.PRE1	SAMEA6651390	KEEP: SRA Ancient	1	Europe	1456.0	565.0	21.0	54.82269205	25.24953400167952	Human	#8000ff	3.0	POINT (25.24953400167952 54.82269205)	7.7315e-06	7.7315e-06
SAMEA6637004	AGU025	[1441:1612]	[-580:-409]	Lithuania	Vilnius County	55.35000030000001	23.7499997	54.82269205	25.24953400167952	Second Pandemic	1.PRE	1.PRE1	SAMEA6637004	KEEP: SRA Ancient	1	Europe	1526.5	494.5	85.5	54.82269205	25.24953400167952	Human	#8000ff	3.0	POINT (25.24953400167952 54.82269205)	8.643900000000002e-06	8.643900000000002e-06
SAMEA6637002	AGU007B	[1463:1632]	[-558:-389]	Lithuania	Vilnius County	55.35000030000001	23.7499997	54.82269205	25.24953400167952	Second Pandemic	1.PRE	1.PRE1	SAMEA6637002	KEEP: SRA Ancient	1	Europe	1547.5	473.5	84.5	54.82269205	25.24953400167952	Human	#8000ff	3.0	POINT (25.24953400167952 54.82269205)	7.7315e-06	7.7315e-06
D51	GrGC15	[1100:1600]	[-921:-421]	Denmark	Central Denmark Region	55.670249	10.333328300000002	56.23564835	9.234625027778005	Second Pandemic	1.PRE	1.PRE1	D51	KEEP: Local Ancient Denmark	1	Europe	1350.0	671.0	250.0	56.23564835	9.234625027778005	Human	#8000ff	4.0	POINT (9.234625027778005 56.23564835)	1.52052e-05	1.52052e-05
D62	G25A	[1200:1560]	[-821:-461]	Denmark	Region of Southern Denmark	55.670249	10.333328300000002	55.37842625	9.13180637450161	Second Pandemic	1.PRE	1.PRE1	D62	KEEP: Local Ancient Denmark	1	Europe	1380.0	641.0	180.0	55.37842625	9.13180637450161	Human	#8000ff	5.0	POINT (9.131806374501609 55.37842625)	1.0751999999999999e-06	1.0751999999999999e-06
D71	G16	[1200:1560]	[-821:-461]	Denmark	Region of Southern Denmark	55.670249	10.333328300000002	55.37842625	9.13180637450161	Second Pandemic	1.PRE	1.PRE1	D71	KEEP: Local Ancient Denmark	1	Europe	1380.0	641.0	180.0	55.37842625	9.13180637450161	Human	#8000ff	5.0	POINT (9.131806374501609 55.37842625)	1.7248e-06	1.7248e-06
D72	G207	[1200:1560]	[-821:-461]	Denmark	Region of Southern Denmark	55.670249	10.333328300000002	55.37842625	9.13180637450161	Second Pandemic	1.PRE	1.PRE1	D72	KEEP: Local Ancient Denmark	1	Europe	1380.0	641.0	180.0	55.37842625	9.13180637450161	Human	#8000ff	5.0	POINT (9.131806374501609 55.37842625)	1.1157200000000002e-05	1.1157200000000002e-05
D75	G861x1035	[1200:1560]	[-821:-461]	Denmark	Region of Southern Denmark	55.670249	10.333328300000002	55.37842625	9.13180637450161	Second Pandemic	1.PRE	1.PRE1	D75	KEEP: Local Ancient Denmark	1	Europe	1380.0	641.0	180.0	55.37842625	9.13180637450161	Human	#8000ff	5.0	POINT (9.131806374501609 55.37842625)	1.1263300000000001e-05	1.1263300000000001e-05
P187	A146x3011	[1150:1574]	[-871:-447]	Denmark	Central Denmark Region	55.670249	10.333328300000002	56.23564835	9.234625027778005	Second Pandemic	1.PRE	1.PRE1	P187	KEEP: Local Ancient Denmark	1	Europe	1362.0	659.0	212.0	56.23564835	9.234625027778005	Human	#8000ff	4.0	POINT (9.234625027778005 56.23564835)	6.9663e-06	6.9663e-06
P212	G371	[1150:1350]	[-871:-671]	Denmark	Central Denmark Region	55.670249	10.333328300000002	56.23564835	9.234625027778005	Second Pandemic	1.PRE	1.PRE1	P212	KEEP: Local Ancient Denmark	1	Europe	1250.0	771.0	100.0	56.23564835	9.234625027778005	Human	#8000ff	4.0	POINT (9.234625027778005 56.23564835)	9.298499999999999e-06	9.298499999999999e-06
P387	A1480x1480	[1100:1500]	[-921:-521]	Denmark	Central Denmark Region	55.670249	10.333328300000002	56.23564835	9.234625027778005	Second Pandemic	1.PRE	1.PRE1	P387	KEEP: Local Ancient Denmark	1	Europe	1300.0	721.0	200.0	56.23564835	9.234625027778005	Human	#8000ff	4.0	POINT (9.234625027778005 56.23564835)	8.8612e-06	8.8612e-06
R36	G25Bx98	[1200:1560]	[-821:-461]	Denmark	Region of Southern Denmark	55.670249	10.333328300000002	55.37842625	9.13180637450161	Second Pandemic	1.PRE	1.PRE1	R36	KEEP: Local Ancient Denmark	1	Europe	1380.0	641.0	180.0	55.37842625	9.13180637450161	Human	#8000ff	5.0	POINT (9.131806374501609 55.37842625)	3.1276e-06	3.1276e-06
